Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
Tribhuvan University Teaching Hospital,Maharajgunj Kathmandu,01-4512505,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Civil Service Hospital,Minbhawan Kathmandu,01-4793000,27.6900,85.3400,Kathmandu,Minbhawan,Bagmati
Bir Hospital,Kanti Path Kathmandu,01-4221119,27.7050,85.3150,Kathmandu,Ratnapark,Bagmati
Patan Hospital,Lagankhel Lalitpur,01-5522278,27.6700,85.3200,Lalitpur,Lagankhel,Bagmati
Grande International Hospital,Dhapasi Kathmandu,01-5159266,27.7500,85.3300,Kathmandu,Dhapasi,Bagmati
Norvic International Hospital,Thapathali Kathmandu,01-4258554,27.6950,85.3150,Kathmandu,Thapathali,Bagmati
Nepal Mediciti Hospital,Bhaisepati Lalitpur,01-4217766,27.6500,85.3000,Lalitpur,Bhaisepati,Bagmati
HAMS Hospital,Dhumbarahi Kathmandu,01-4377404,27.7350,85.3400,Kathmandu,Dhumbarahi,Bagmati
Om Hospital,Chabahil Kathmandu,01-4476225,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
Vayodha Hospitals,Balkhu Kathmandu,01-4286427,27.6850,85.3000,Kathmandu,Balkhu,Bagmati
B&B Hospital,Gwarko Lalitpur,01-5533206,27.6650,85.3300,Lalitpur,Gwarko,Bagmati
Alka Hospital,Jawalakhel Lalitpur,01-5970999,27.6750,85.3150,Lalitpur,Jawalakhel,Bagmati
KIST Medical College and Teaching Hospital,Imadol Lalitpur,01-5201496,27.6500,85.3500,Lalitpur,Imadol,Bagmati
Nepal Cancer Hospital,Harisiddhi Lalitpur,01-5971532,27.6300,85.3500,Lalitpur,Harisiddhi,Bagmati
Star Hospital,Sanepa Lalitpur,01-5420777,27.6850,85.3050,Lalitpur,Sanepa,Bagmati
Medicare National Hospital,Chabahil Kathmandu,01-4471322,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
Manmohan Memorial Medical College and Teaching Hospital,Swayambhu Kathmandu,01-4034015,27.7150,85.2800,Kathmandu,Swayambhu,Bagmati
People's Dental College and Hospital,Nayabazar Kathmandu,01-4380838,27.7300,85.3050,Kathmandu,Nayabazar,Bagmati
Nepal Police Hospital,Maharajgunj Kathmandu,01-4412430,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Shahid Gangalal National Heart Centre,Bansbari Kathmandu,01-4371322,27.7500,85.3400,Kathmandu,Bansbari,Bagmati
Kanti Children's Hospital,Maharajgunj Kathmandu,01-4411558,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Paropakar Maternity and Women's Hospital,Thapathali Kathmandu,01-4253276,27.6950,85.3150,Kathmandu,Thapathali,Bagmati
Tilganga Institute of Ophthalmology,Gausala Kathmandu,01-4493684,27.7100,85.3500,Kathmandu,Gausala,Bagmati
Nepal Eye Hospital,Tripureshwor Kathmandu,01-4250691,27.7000,85.3100,Kathmandu,Tripureshwor,Bagmati
Teaching Hospital Emergency,Maharajgunj Kathmandu,01-4412303,27.7350,85.3300,Kathmandu,Maharajgunj,Bagmati
Bhaktapur Cancer Hospital,Bhaktapur,01-6611532,27.6700,85.4300,Bhaktapur,Bhaktapur,Bagmati
Bhaktapur Hospital,Dudhpati Bhaktapur,01-6610798,27.6750,85.4300,Bhaktapur,Dudhpati,Bagmati
Madhyapur Hospital,Thimi Bhaktapur,01-6631598,27.6800,85.3900,Bhaktapur,Thimi,Bagmati
Khwopa Hospital,Bhaktapur,01-6618998,27.6750,85.4300,Bhaktapur,Bhaktapur,Bagmati
Kavre District Hospital,Dhulikhel Kavre,011-490497,27.6200,85.5400,Kavrepalanchok,Dhulikhel,Bagmati
Dhulikhel Hospital,Dhulikhel Kavre,011-490497,27.6200,85.5400,Kavrepalanchok,Dhulikhel,Bagmati
Sheer Memorial Hospital,Banepa Kavre,011-665015,27.6300,85.5200,Kavrepalanchok,Banepa,Bagmati
Nuwakot District Hospital,Trishuli Nuwakot,010-560120,27.9000,85.1600,Nuwakot,Trishuli,Bagmati
Hetauda Hospital,Hetauda Makwanpur,057-520155,27.4300,85.0300,Makwanpur,Hetauda,Bagmati
Chitwan Medical College Teaching Hospital,Bharatpur Chitwan,056-493403,27.6800,84.4300,Chitwan,Bharatpur,Bagmati
B.P. Koirala Memorial Cancer Hospital,Bharatpur Chitwan,056-523911,27.6800,84.4300,Chitwan,Bharatpur,Bagmati
Bharatpur Hospital,Bharatpur Chitwan,056-527959,27.6800,84.4300,Chitwan,Bharatpur,Bagmati
College of Medical Sciences Teaching Hospital,Bharatpur Chitwan,056-534111,27.6700,84.4400,Chitwan,Bharatpur,Bagmati
Manipal Teaching Hospital,Phulbari Pokhara,061-526416,28.2500,83.9900,Kaski,Pokhara,Gandaki
Western Regional Hospital,Pokhara Kaski,061-520067,28.2100,83.9800,Kaski,Pokhara,Gandaki
Gandaki Medical College Teaching Hospital,Pokhara,061-430822,28.2100,84.0000,Kaski,Pokhara,Gandaki
Fishtail Hospital,Pokhara Kaski,061-461816,28.2100,83.9700,Kaski,Pokhara,Gandaki
Metrocity Hospital,Pokhara Kaski,061-538595,28.2200,83.9900,Kaski,Pokhara,Gandaki
Charak Memorial Hospital,Pokhara Kaski,061-537055,28.2200,83.9800,Kaski,Pokhara,Gandaki
Gorkha District Hospital,Gorkha Bazaar,064-420123,28.0000,84.6300,Gorkha,Gorkha,Gandaki
Damauli Hospital,Tanahun,065-560102,27.9700,84.2400,Tanahun,Damauli,Gandaki
Lamjung District Hospital,Besisahar,066-520123,28.2300,84.0100,Lamjung,Besisahar,Gandaki
Beni Hospital,Myagdi,069-520102,28.3500,83.5700,Myagdi,Beni,Gandaki
Baglung District Hospital,Baglung,068-520102,28.2700,83.5900,Baglung,Baglung,Gandaki
Parbat District Hospital,Kushma,067-420102,28.2200,83.6800,Parbat,Kushma,Gandaki
Syangja District Hospital,Syangja,063-420102,28.0000,83.8700,Syangja,Syangja,Gandaki
Tansen Hospital,Palpa,075-520102,27.8700,83.5500,Palpa,Tansen,Lumbini
Lumbini Provincial Hospital,Butwal Rupandehi,071-540200,27.7000,83.4500,Rupandehi,Butwal,Lumbini
Universal College of Medical Sciences,Bhairahawa Rupandehi,071-506016,27.5000,83.4500,Rupandehi,Bhairahawa,Lumbini
Bheri Hospital,Nepalgunj Banke,081-520123,28.0500,81.6200,Banke,Nepalgunj,Lumbini
Rapti Academy of Health Sciences,Ghorahi Dang,082-560123,28.0300,82.4800,Dang,Ghorahi,Lumbini
Koshi Hospital,Biratnagar Morang,021-530103,26.4500,87.2700,Morang,Biratnagar,Koshi
B.P. Koirala Institute of Health Sciences,Dharan Sunsari,025-525555,26.8100,87.2800,Sunsari,Dharan,Koshi
Mechi Provincial Hospital,Bhadrapur Jhapa,023-520123,26.5500,88.0900,Jhapa,Bhadrapur,Koshi
Janakpur Provincial Hospital,Janakpur Dhanusha,041-520123,26.7300,85.9200,Dhanusha,Janakpur,Madhesh
Narayan Subedi Memorial Hospital,Janakpur,041-520456,26.7300,85.9200,Dhanusha,Janakpur,Madhesh
Birgunj Health Care Hospital,Birgunj Parsa,051-522123,27.0100,84.8800,Parsa,Birgunj,Madhesh
Narayani Hospital,Birgunj Parsa,051-521993,27.0100,84.8800,Parsa,Birgunj,Madhesh
Bardiya District Hospital,Gulariya,084-420123,28.2300,81.3400,Bardiya,Gulariya,Lumbini
Dadeldhura Hospital,Dadeldhura,096-420123,29.3000,80.5800,Dadeldhura,Dadeldhura,Sudurpashchim
Seti Provincial Hospital,Dhangadhi Kailali,091-520123,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Karnali Academy of Health Sciences,Jumla,087-520123,29.2700,82.1800,Jumla,Jumla,Karnali
Surkhet Provincial Hospital,Birendranagar,083-520123,28.6000,81.6300,Surkhet,Birendranagar,Karnali
Hospital Name,Address,Phone,Latitude,Longitude,District,Destination,Province
National Trauma Center,Mahankal Kathmandu,01-4230710,27.7050,85.3150,Kathmandu,Kathmandu,Bagmati
Sukraraj Tropical and Infectious Disease Hospital,Teku Kathmandu,01-4253396,27.6950,85.3050,Kathmandu,Teku,Bagmati
Mental Hospital,Lagankhel Lalitpur,01-5521612,27.6700,85.3200,Lalitpur,Lagankhel,Bagmati
Koshi Zonal Hospital,Biratnagar Morang,021-530103,26.4500,87.2700,Morang,Biratnagar,Koshi
Nobel Medical College Teaching Hospital,Biratnagar Morang,021-465736,26.4500,87.2800,Morang,Biratnagar,Koshi
Birat Medical College Teaching Hospital,Biratnagar Morang,021-470000,26.4500,87.2700,Morang,Biratnagar,Koshi
Neuro Cardio Multispeciality Hospital,Biratnagar Morang,021-533333,26.4500,87.2700,Morang,Biratnagar,Koshi
Golden Hospital,Biratnagar Morang,021-461234,26.4500,87.2700,Morang,Biratnagar,Koshi
Dharan Sub-Metropolitan Hospital,Dharan Sunsari,025-520123,26.8100,87.2800,Sunsari,Dharan,Koshi
Bijayapur Hospital,Dharan Sunsari,025-520456,26.8100,87.2800,Sunsari,Dharan,Koshi
Lahan Hospital,Lahan Siraha,033-560123,26.7200,86.4800,Siraha,Lahan,Madhesh
Siraha District Hospital,Siraha,033-520123,26.6600,86.2000,Siraha,Siraha,Madhesh
Saptari District Hospital,Rajbiraj,031-520123,26.5400,86.7500,Saptari,Rajbiraj,Madhesh
Dhanusha Hospital,Janakpur,041-520123,26.7300,85.9200,Dhanusha,Janakpur,Madhesh
Malangwa Hospital,Sarlahi,046-520123,26.8600,85.5600,Sarlahi,Malangwa,Madhesh
Gaur Hospital,Rautahat,055-520123,26.7700,85.2700,Rautahat,Gaur,Madhesh
Kalaiya Hospital,Bara,053-520123,26.9900,84.8700,Bara,Kalaiya,Madhesh
Narayan Hospital,Birgunj Parsa,051-521500,27.0100,84.8800,Parsa,Birgunj,Madhesh
Patan Academy of Health Sciences,Lagankhel Lalitpur,01-5522295,27.6700,85.3200,Lalitpur,Lagankhel,Bagmati
KIST Hospital,Imadol Lalitpur,01-5201496,27.6500,85.3500,Lalitpur,Imadol,Bagmati
Asian College for Advanced Studies Hospital,Gwarko Lalitpur,01-5201300,27.6650,85.3300,Lalitpur,Gwarko,Bagmati
Baidya and Research Hospital,Kathmandu,01-4440000,27.7200,85.3300,Kathmandu,Kathmandu,Bagmati
Venus Hospital,Mid Baneshwor Kathmandu,01-4467788,27.6950,85.3400,Kathmandu,Baneshwor,Bagmati
Kathmandu Model Hospital,Pradarshani Marg Kathmandu,01-4240800,27.7050,85.3150,Kathmandu,Pradarshani Marg,Bagmati
Swacon International Hospital,Bhaisepati Lalitpur,01-5591919,27.6500,85.3000,Lalitpur,Bhaisepati,Bagmati
Vatsalya Natural IVF Hospital,Nakhu Lalitpur,01-5599555,27.6650,85.3100,Lalitpur,Nakhu,Bagmati
Apex Hospital,Jorpati Kathmandu,01-4912500,27.7300,85.3700,Kathmandu,Jorpati,Bagmati
Shankarapur Hospital,Jorpati Kathmandu,01-4911000,27.7300,85.3700,Kathmandu,Jorpati,Bagmati
Om Samaj Dental Hospital,Chabahil Kathmandu,01-4482424,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
Nepal Orthopedic Hospital,Jorpati Kathmandu,01-4911700,27.7300,85.3700,Kathmandu,Jorpati,Bagmati
Kantipur Hospital,Subidhanagar Kathmandu,01-4469064,27.6900,85.3500,Kathmandu,Tinkune,Bagmati
Aster Hospital,Sanepa Lalitpur,01-5522222,27.6850,85.3050,Lalitpur,Sanepa,Bagmati
Green City Hospital,Basundhara Kathmandu,01-4387788,27.7350,85.3400,Kathmandu,Basundhara,Bagmati
Helping Hands Community Hospital,Chabahil Kathmandu,01-4480071,27.7200,85.3450,Kathmandu,Chabahil,Bagmati
Blue Cross Hospital,Tripureshwor Kathmandu,01-4262027,27.7000,85.3100,Kathmandu,Tripureshwor,Bagmati
Kathmandu Cancer Center,Bhaktapur,01-6633444,27.6800,85.4300,Bhaktapur,Bhaktapur,Bagmati
Nepal Korea Friendship Municipality Hospital,Madhyapur Thimi,01-6635111,27.6800,85.3900,Bhaktapur,Thimi,Bagmati
Baktapur International Hospital,Bhaktapur,01-6617070,27.6750,85.4300,Bhaktapur,Bhaktapur,Bagmati
Janamaitri Hospital,Balkhu Kathmandu,01-4288888,27.6850,85.3000,Kathmandu,Balkhu,Bagmati
Siddhi Memorial Hospital,Bhaktapur,01-6610798,27.6750,85.4300,Bhaktapur,Bhaktapur,Bagmati
Kathmandu Medical College Teaching Hospital,Sinamangal Kathmandu,01-4469064,27.6950,85.3500,Kathmandu,SInamangal,Bagmati
Nepal International Clinic,Lazimpat Kathmandu,01-4424642,27.7200,85.3300,Kathmandu,Lazimpat,Bagmati
CIWEC Hospital,Lainchaur Kathmandu,01-4424111,27.7200,85.3200,Kathmandu,Lainchaur,Bagmati
Grande City Hospital,Putalisadak Kathmandu,01-5970999,27.7050,85.3200,Kathmandu,Putalisadak,Bagmati
People's Hospital,New Baneshwor Kathmandu,01-4780444,27.6900,85.3400,Kathmandu,Baneshwor,Bagmati
Nidan Hospital,Pulchowk Lalitpur,01-5443200,27.6800,85.3150,Lalitpur,Pulchowk,Bagmati
Vishwa Hospital,Satdobato Lalitpur,01-5531234,27.6570,85.3240,Lalitpur,Satdobato,Bagmati
Lumbini Provincial Hospital Emergency,Butwal Rupandehi,071-540200,27.7000,83.4500,Rupandehi,Butwal,Lumbini
Devdaha Medical College,Devdaha Rupandehi,071-577777,27.6500,83.5600,Rupandehi,Devdaha,Lumbini
Crimson Hospital,Manigram Rupandehi,071-520111,27.6500,83.4700,Rupandehi,Manigram,Lumbini
Universal College Hospital,Bhairahawa Rupandehi,071-506016,27.5000,83.4500,Rupandehi,Bhairahawa,Lumbini
Nepalgunj Medical College,Kohalpur Banke,081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Teaching Hospital Kohalpur,Banke,081-540000,28.2100,81.6800,Banke,Kohalpur,Lumbini
Rapti Provincial Hospital,Tulsipur Dang,082-520123,28.1300,82.3000,Dang,Tulsipur,Lumbini
Lamahi Hospital,Dang,082-560123,27.8500,82.5500,Dang,Lamahi,Lumbini
Bheri Hospital Emergency,Nepalgunj Banke,081-520123,28.0500,81.6200,Banke,Nepalgunj,Lumbini
Seti Zonal Hospital,Dhangadhi Kailali,091-520123,28.7000,80.5900,Kailali,Dhangadhi,Sudurpashchim
Mahakali Provincial Hospital,Mahendranagar Kanchanpur,099-521123,28.9600,80.1800,Kanchanpur,Mahendranagar,Sudurpashchim
