hospital_name,address,phone,latitude,longitude,district,destination,province,data_quality_score
Baktapur International Hospital,Bhaktapur,016617070,27.675,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Bhaktapur Cancer Hospital,Bhaktapur,016611532,27.67,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Bhaktapur Cancer Hospital,Dudhpati Bhaktapur,+977016611532,27.67,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Bhaktapur Eye Hospital,Bhaktapur,,27.675,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Bhaktapur Hospital,Dudhpati Bhaktapur,016610798,27.675,85.43,Bhaktapur,Dudhpati,Bagmati,100.0
Bhaktapur Human Organ Transplant Center,Bhaktapur,016610765,27.68,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Bhaktapur International Hospital,Bhaktapur,+977016617070,27.675,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Kathmandu Cancer Center,Bhaktapur,016633444,27.68,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Khwopa Hospital,Bhaktapur,016618998,27.675,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Madhyapur Hospital,Thimi Bhaktapur,016631598,27.68,85.39,Bhaktapur,Thimi,Bagmati,100.0
Madhyapur Thimi Hospital,Thimi Bhaktapur,+977015093395,27.68,85.39,Bhaktapur,Thimi,Bagmati,100.0
Nepal Korea Friendship Hospital,Thimi Bhaktapur,+977016635111,27.68,85.39,Bhaktapur,Thimi,Bagmati,100.0
Nepal Korea Friendship Hospital,Thimi,+977016635111,27.68,85.39,Bhaktapur,Thimi,Bagmati,100.0
Nepal Korea Friendship Municipality Hospital,Madhyapur Thimi,016635111,27.68,85.39,Bhaktapur,Thimi,Bagmati,100.0
Nepal Korea Friendship Municipality Hospital,Madhyapur Thimi Bhaktapur,+977016635111,27.68,85.39,Bhaktapur,Thimi,Bagmati,100.0
Shahid Dharmabhakta National Transplant Center,Bhaktapur,016630765,27.68,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
Siddhi Memorial Hospital,Bhaktapur,016610798,27.675,85.43,Bhaktapur,Bhaktapur,Bagmati,100.0
B.P. Koirala Memorial Cancer Hospital,Bharatpur Chitwan,056523911,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
B.P. Koirala Memorial Cancer Hospital,Chitwan,+977056523911,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
B.P. Koirala Memorial Cancer Hospital,Bharatpur,+977056523911,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Bharatpur Eye Hospital,Chitwan,056520123,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Bharatpur Eye Hospital,Bharatpur Chitwan,+977056520123,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Bharatpur Hospital,Bharatpur Chitwan,056527959,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Bharatpur Hospital,Chitwan,+977056527959,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
Bharatpur Hospital,Bharatpur,+977056527959,27.68,84.43,Chitwan,Bharatpur,Bagmati,100.0
