ID,Police Station,Destination,Address,Phone,Latitude,Longitude,District,Province
1,Nepal Police Headquarters,Kathmandu,"Naxal, Kathmandu, Nepal",+977-1-4412100,27.7172,85.3240,Kathmandu,Bagmati
2,Kathmandu Valley Police Office,Kathmandu,"Ratna Park, Kathmandu, Nepal",+977-1-4231466,27.7048,85.3157,Kathmandu,Bagmati
3,District Police Range Kathmandu,Kathmandu,"Teku, Kathmandu, Nepal",+977-1-4261945,27.6958,85.3075,Kathmandu,Bagmati
4,Metropolitan Police Circle Balaju,Kathmandu,"Balaju, Kathmandu, Nepal",,27.7350,85.3000,Kathmandu,Bagmati
5,Metropolitan Police Circle Gaushala,Kathmandu,"Gaushala, Kathmandu, Nepal",,27.7090,85.3480,Kathmandu,Bagmati
6,Metropolitan Police Circle Maharajgunj,Kathmandu,"Maharajgunj, Kathmandu, Nepal",,27.7360,85.3370,Kathmandu,Bagmati
7,Metropolitan Police Circle Kalimati,Kathmandu,"Kalimati, Kathmandu, Nepal",+977-1-4270536,27.6965,85.2975,Kathmandu,Bagmati
8,Metropolitan Police Circle Koteshwor,Kathmandu,"Koteshwor, Kathmandu, Nepal",,27.6780,85.3480,Kathmandu,Bagmati
9,Metropolitan Police Circle Thamel,Kathmandu,"Thamel, Kathmandu, Nepal",,27.7150,85.3120,Kathmandu,Bagmati
10,Metropolitan Police Circle Singha Durbar,Kathmandu,"Singha Durbar, Kathmandu, Nepal",,27.7000,85.3240,Kathmandu,Bagmati
11,Police Station Thapathali,Kathmandu,"Thapathali, Kathmandu, Nepal",,27.6945,85.3205,Kathmandu,Bagmati
12,Police Station Teku,Kathmandu,"Teku, Kathmandu, Nepal",,27.6950,85.3060,Kathmandu,Bagmati
13,Police Station Baneshwor,Kathmandu,"New Baneshwor, Kathmandu, Nepal",,27.6920,85.3420,Kathmandu,Bagmati
14,Police Station Bouddha,Kathmandu,"Boudha, Kathmandu, Nepal",,27.7210,85.3620,Kathmandu,Bagmati
15,Police Station Chabahil,Kathmandu,"Chabahil, Kathmandu, Nepal",,27.7180,85.3480,Kathmandu,Bagmati
16,Police Station Gongabu,Kathmandu,"Gongabu, Kathmandu, Nepal",,27.7350,85.3140,Kathmandu,Bagmati
17,Police Station Maharajgunj,Kathmandu,"Maharajgunj, Kathmandu, Nepal",,27.7360,85.3370,Kathmandu,Bagmati
18,Police Station Sankhu,Kathmandu,"Sankhu, Kathmandu, Nepal",,27.7350,85.4500,Kathmandu,Bagmati
19,Police Station Thankot,Kathmandu,"Thankot, Kathmandu, Nepal",,27.6900,85.2200,Kathmandu,Bagmati
20,Police Station Kirtipur,Kirtipur,"Kirtipur Municipality, Kathmandu, Nepal",,27.6780,85.2770,Kathmandu,Bagmati
21,District Police Office Lalitpur,Lalitpur,"Jawalakhel, Lalitpur, Nepal",+977-1-5521207,27.6730,85.3150,Lalitpur,Bagmati
22,Police Station Jawalakhel,Lalitpur,"Jawalakhel, Lalitpur, Nepal",,27.6720,85.3150,Lalitpur,Bagmati
23,Police Station Lagankhel,Lalitpur,"Lagankhel, Lalitpur, Nepal",,27.6660,85.3250,Lalitpur,Bagmati
24,Police Station Satdobato,Lalitpur,"Satdobato, Lalitpur, Nepal",,27.6570,85.3240,Lalitpur,Bagmati
25,Police Station Bungamati,Lalitpur,"Bungamati, Lalitpur, Nepal",,27.6280,85.2940,Lalitpur,Bagmati
26,District Police Office Bhaktapur,Bhaktapur,"Bhaktapur Durbar Square Area, Nepal",,27.6720,85.4290,Bhaktapur,Bagmati
27,Police Station Thimi,Bhaktapur,"Madhyapur Thimi, Bhaktapur, Nepal",,27.6800,85.3870,Bhaktapur,Bagmati
28,Police Station Suryabinayak,Bhaktapur,"Suryabinayak, Bhaktapur, Nepal",,27.6650,85.4300,Bhaktapur,Bagmati
29,Police Station Jagati,Bhaktapur,"Jagati, Bhaktapur, Nepal",,27.6500,85.4450,Bhaktapur,Bagmati
30,Police Station Changunarayan,Bhaktapur,"Changunarayan, Bhaktapur, Nepal",,27.7160,85.4270,Bhaktapur,Bagmati
31,District Police Office Kavrepalanchok,Dhulikhel,"Dhulikhel, Kavre, Nepal",,27.6220,85.5420,Kavrepalanchok,Bagmati
32,Police Station Banepa,Banepa,"Banepa Municipality, Kavre, Nepal",,27.6300,85.5210,Kavrepalanchok,Bagmati
33,Police Station Panauti,Panauti,"Panauti, Kavre, Nepal",,27.5850,85.5130,Kavrepalanchok,Bagmati
34,District Police Office Sindhupalchok,Chautara,"Chautara, Sindhupalchok, Nepal",,27.7780,85.7100,Sindhupalchok,Bagmati
35,Police Station Melamchi,Melamchi,"Melamchi, Sindhupalchok, Nepal",,27.8220,85.5800,Sindhupalchok,Bagmati
36,District Police Office Nuwakot,Bidur,"Bidur, Nuwakot, Nepal",,27.9200,85.1600,Nuwakot,Bagmati
37,Police Station Trishuli,Trishuli,"Trishuli, Nuwakot, Nepal",,27.9830,85.1700,Nuwakot,Bagmati
38,District Police Office Rasuwa,Dhunche,"Dhunche, Rasuwa, Nepal",,28.1100,85.3000,Rasuwa,Bagmati
39,District Police Office Dhading,Dhadingbesi,"Dhadingbesi, Dhading, Nepal",,27.8730,84.9200,Dhading,Bagmati
40,Police Station Naubise,Naubise,"Naubise, Dhading, Nepal",,27.7500,85.0800,Dhading,Bagmati
41,District Police Office Makwanpur,Hetauda,"Hetauda, Makwanpur, Nepal",+977-57-520399,27.4280,85.0320,Makwanpur,Bagmati
42,Police Station Hetauda,Hetauda,"Hetauda Sub-Metropolitan City, Nepal",,27.4300,85.0330,Makwanpur,Bagmati
43,Police Station Bhimphedi,Bhimphedi,"Bhimphedi, Makwanpur, Nepal",,27.5500,85.1500,Makwanpur,Bagmati
44,District Police Office Chitwan,Bharatpur,"Bharatpur, Chitwan, Nepal",,27.6830,84.4300,Chitwan,Bagmati
45,Police Station Narayangarh,Narayangarh,"Narayangarh, Chitwan, Nepal",,27.6830,84.4350,Chitwan,Bagmati
46,Police Station Ratnanagar,Ratnanagar,"Tandi, Chitwan, Nepal",,27.6150,84.5000,Chitwan,Bagmati
47,District Police Office Gorkha,Gorkha,"Gorkha Bazaar, Nepal",,28.0000,84.6330,Gorkha,Gandaki
48,Police Station Palungtar,Palungtar,"Palungtar, Gorkha, Nepal",,28.0300,84.6200,Gorkha,Gandaki
49,District Police Office Lamjung,Besisahar,"Besisahar, Lamjung, Nepal",,28.2300,84.0100,Lamjung,Gandaki
50,Police Station Sundarbazar,Sundarbazar,"Sundarbazar, Lamjung, Nepal",,28.1250,84.0200,Lamjung,Gandaki
51,District Police Office Tanahun,Damauli,"Damauli, Tanahun, Nepal",,27.9730,84.2400,Tanahun,Gandaki
52,Police Station Dumre,Dumre,"Dumre, Tanahun, Nepal",,28.1150,84.4000,Tanahun,Gandaki
53,Police Station Bhimad,Bhimad,"Bhimad Municipality, Tanahun, Nepal",,27.9500,84.0500,Tanahun,Gandaki
54,District Police Office Kaski,Pokhara,"Pokhara, Kaski, Nepal",+977-61-538633,28.2257,83.9893,Kaski,Gandaki
55,Metropolitan Police Office Pokhara,Pokhara,"Pokhara Metropolitan City, Nepal",,28.2096,83.9856,Kaski,Gandaki
56,Police Station Lakeside,Pokhara,"Lakeside, Pokhara, Nepal",+977-61-452761,28.2100,83.9600,Kaski,Gandaki
57,Police Station Baidam,Pokhara,"Baidam, Pokhara, Nepal",,28.2150,83.9560,Kaski,Gandaki
58,Police Station Hemja,Pokhara,"Hemja, Pokhara, Nepal",,28.2600,83.9100,Kaski,Gandaki
59,Police Station Lekhnath,Lekhnath,"Lekhnath, Pokhara, Nepal",,28.1700,84.0550,Kaski,Gandaki
60,Police Station Prithvi Chowk,Pokhara,"Prithvi Chowk, Pokhara, Nepal",,28.2000,83.9700,Kaski,Gandaki
61,District Police Office Syangja,Syangja,"Syangja Bazaar, Nepal",,28.0900,83.8700,Syangja,Gandaki
62,Police Station Waling,Waling,"Waling Municipality, Syangja, Nepal",,27.9800,83.7600,Syangja,Gandaki
63,Police Station Putalibazar,Syangja,"Putalibazar, Syangja, Nepal",,28.1000,83.8700,Syangja,Gandaki
64,District Police Office Parbat,Kusma,"Kusma, Parbat, Nepal",,28.2200,83.6800,Parbat,Gandaki
65,Police Station Kusma,Kusma,"Kusma Municipality, Parbat, Nepal",,28.2200,83.6800,Parbat,Gandaki
66,District Police Office Baglung,Baglung,"Baglung Bazaar, Nepal",,28.2700,83.5900,Baglung,Gandaki
67,Police Station Burtibang,Burtibang,"Burtibang, Baglung, Nepal",,28.3300,83.1300,Baglung,Gandaki
