raw_value,district,province,source,matched_destination_count,created_at
कास्की,Kaski,Gandaki,coordinate_derived,1443,2026-09-12
काठमाडौं जिल्ला,Kathmandu,Bagmati,coordinate_derived,989,2026-09-12
सोलुखुम्बु जिल्ला,Solukhumbu,Koshi,coordinate_derived,437,2026-09-12
काभ्रेपलाञ्चोक जिल्ला,Bhaktapur,Bagmati,coordinate_derived,239,2026-09-12
रुपन्देही,Rupandehi,Lumbini,coordinate_derived,206,2026-09-12
मनाङ,Manang,Gandaki,coordinate_derived,186,2026-09-12
गोरखा,Manang,Gandaki,coordinate_derived,183,2026-09-12
मुस्ताङ,Mustang,Gandaki,coordinate_derived,171,2026-09-12
चितवन जिल्ला,Chitwan,Bagmati,coordinate_derived,170,2026-09-12
बाँके,Surkhet,Karnali,coordinate_derived,144,2026-09-12
ललितपुर जिल्ला,Lalitpur,Bagmati,coordinate_derived,130,2026-09-12
रसुवा जिल्ला,Kathmandu,Bagmati,coordinate_derived,103,2026-09-12
भक्तपुर जिल्ला,Bhaktapur,Bagmati,coordinate_derived,96,2026-09-12
ताप्लेजुङ जिल्ला,Ilam,Koshi,coordinate_derived,83,2026-09-12
म्याग्दी,Kaski,Gandaki,coordinate_derived,83,2026-09-12
पर्वत,Kaski,Gandaki,coordinate_derived,80,2026-09-12
डोल्पा,Dolpa,Karnali,coordinate_derived,76,2026-09-12
धादिङ जिल्ला,Gorkha,Gandaki,coordinate_derived,76,2026-09-12
लमजुङ,Kaski,Gandaki,coordinate_derived,73,2026-09-12
नुवाकोट जिल्ला,Kathmandu,Bagmati,coordinate_derived,71,2026-09-12
तनहुँ,Tanahun,Gandaki,coordinate_derived,60,2026-09-12
दाङ,Rupandehi,Lumbini,coordinate_derived,57,2026-09-12
हुम्ला,Mugu,Karnali,coordinate_derived,57,2026-09-12
दोलखा जिल्ला,Solukhumbu,Koshi,coordinate_derived,55,2026-09-12
मकवानपुर जिल्ला,Chitwan,Bagmati,coordinate_derived,49,2026-09-12
स्याङ्जा,Kaski,Gandaki,coordinate_derived,49,2026-09-12
इलाम जिल्ला,Ilam,Koshi,coordinate_derived,48,2026-09-12
काठमाडौं,Kathmandu,Bagmati,coordinate_derived,48,2026-09-12
दैलेख,Surkhet,Karnali,coordinate_derived,44,2026-09-12
ललितपुर,Lalitpur,Bagmati,coordinate_derived,43,2026-09-12
सिन्धुपाल्चोक जिल्ला,Kathmandu,Bagmati,coordinate_derived,39,2026-09-12
कैलाली,Surkhet,Karnali,coordinate_derived,33,2026-09-12
झापा जिल्ला,Ilam,Koshi,coordinate_derived,32,2026-09-12
मोरङ जिल्ला,Ilam,Koshi,coordinate_derived,28,2026-09-12
पाल्पा,Palpa,Lumbini,coordinate_derived,26,2026-09-12
कपिलवस्तु,Rupandehi,Lumbini,coordinate_derived,23,2026-09-12
बर्दिया,Surkhet,Karnali,coordinate_derived,23,2026-09-12
सुर्खेत,Surkhet,Karnali,coordinate_derived,23,2026-09-12
रामेछाप जिल्ला,Solukhumbu,Koshi,coordinate_derived,21,2026-09-12
कञ्चनपुर जिल्ला,Kanchanpur,Sudurpashchim,coordinate_derived,20,2026-09-12
धनुषा जिल्ला,Dhanusha,Madhesh,coordinate_derived,19,2026-09-12
सुनसरी जिल्ला,Ilam,Koshi,coordinate_derived,19,2026-09-12
भोजपुर जिल्ला,Solukhumbu,Koshi,coordinate_derived,18,2026-09-12
धनकुटा जिल्ला,Ilam,Koshi,coordinate_derived,16,2026-09-12
प्युठान,Rupandehi,Lumbini,coordinate_derived,15,2026-09-12
मुगु,Mugu,Karnali,coordinate_derived,14,2026-09-12
सिन्धुली जिल्ला,Dhanusha,Madhesh,coordinate_derived,14,2026-09-12
Rukum East,Dolpa,Karnali,coordinate_derived,12,2026-09-12
सिराहा जिल्ला,Dhanusha,Madhesh,coordinate_derived,12,2026-09-12
सोलुखुम्बु,Solukhumbu,Koshi,coordinate_derived,11,2026-09-12
Kavre,Bhaktapur,Bagmati,coordinate_derived,9,2026-09-12
