id,police_station,destination,address,phone,latitude,longitude,district,province,data_quality_score
26,District Police Office Bhaktapur,Bhaktapur,"Bhaktapur Durbar Square Area, Nepal",,27.672,85.429,Bhaktapur,Bagmati,100.0
451,District Police Office Bhaktapur,Bhaktapur,"Bhaktapur, Nepal",,27.672,85.429,Bhaktapur,Bagmati,100.0
636,Police Station Bhaktapur,Bhaktapur,"Bhaktapur, Nepal",,27.672,85.429,Bhaktapur,Bagmati,100.0
1919,Police Station Bhaktapur Durbar,Bhaktapur,"Bhaktapur, Nepal",,27.672,85.429,Bhaktapur,Bagmati,100.0
870,Police Station Bhaktapur Durbar Square,Bhaktapur,"Bhaktapur, Nepal",,27.671,85.429,Bhaktapur,Bagmati,100.0
1610,Police Station Bhaktapur Metropolitan,Bhaktapur,"Bhaktapur, Nepal",,27.672,85.429,Bhaktapur,Bagmati,100.0
199,Police Station Bode,Bode,"Bhaktapur, Nepal",,27.69,85.41,Bhaktapur,Bagmati,100.0
30,Police Station Changunarayan,Bhaktapur,"Changunarayan, Bhaktapur, Nepal",,27.716,85.427,Bhaktapur,Bagmati,100.0
455,Police Station Changunarayan,Changunarayan,"Bhaktapur, Nepal",,27.716,85.427,Bhaktapur,Bagmati,100.0
196,Police Station Dadhikot,Dadhikot,"Bhaktapur, Nepal",,27.67,85.45,Bhaktapur,Bagmati,100.0
29,Police Station Jagati,Bhaktapur,"Jagati, Bhaktapur, Nepal",,27.65,85.445,Bhaktapur,Bagmati,100.0
454,Police Station Jagati,Jagati,"Bhaktapur, Nepal",,27.65,85.445,Bhaktapur,Bagmati,100.0
640,Police Station Kamalbinayak,Kamalbinayak,"Bhaktapur, Nepal",,27.69,85.44,Bhaktapur,Bagmati,100.0
1921,Police Station Madhyapur Thimi,Thimi,"Bhaktapur, Nepal",,27.68,85.387,Bhaktapur,Bagmati,100.0
642,Police Station Nagarkot,Nagarkot,"Bhaktapur, Nepal",,27.715,85.52,Bhaktapur,Bagmati,100.0
197,Police Station Nangkhel,Nangkhel,"Bhaktapur, Nepal",,27.65,85.45,Bhaktapur,Bagmati,100.0
1922,Police Station Sallaghari,Sallaghari,"Bhaktapur, Nepal",,27.67,85.41,Bhaktapur,Bagmati,100.0
200,Police Station Sanga,Sanga,"Bhaktapur/Kavre Border, Nepal",,27.67,85.5,Bhaktapur,Bagmati,100.0
198,Police Station Sipadol,Sipadol,"Bhaktapur, Nepal",,27.65,85.42,Bhaktapur,Bagmati,100.0
28,Police Station Suryabinayak,Bhaktapur,"Suryabinayak, Bhaktapur, Nepal",,27.665,85.43,Bhaktapur,Bagmati,100.0
453,Police Station Suryabinayak,Suryabinayak,"Bhaktapur, Nepal",,27.665,85.43,Bhaktapur,Bagmati,100.0
27,Police Station Thimi,Bhaktapur,"Madhyapur Thimi, Bhaktapur, Nepal",,27.68,85.387,Bhaktapur,Bagmati,100.0
452,Police Station Thimi,Madhyapur Thimi,"Bhaktapur, Nepal",,27.68,85.387,Bhaktapur,Bagmati,100.0
571,Traffic Police Office Bhaktapur,Bhaktapur,"Bhaktapur, Nepal",,27.672,85.429,Bhaktapur,Bagmati,100.0
44,District Police Office Chitwan,Bharatpur,"Bharatpur, Chitwan, Nepal",,27.683,84.43,Chitwan,Bagmati,100.0
415,District Police Office Chitwan,Bharatpur,"Chitwan, Nepal",,27.68,84.43,Chitwan,Bagmati,100.0
826,Police Station Bharatpur,Bharatpur,"Chitwan, Nepal",,27.68,84.43,Chitwan,Bagmati,100.0
1340,Police Station Chitwan,Bharatpur,"Chitwan, Nepal",,27.68,84.43,Chitwan,Bagmati,100.0
677,Police Station Khairahani,Khairahani,"Chitwan, Nepal",,27.57,84.65,Chitwan,Bagmati,100.0
418,Police Station Madi,Madi,"Chitwan, Nepal",,27.35,84.35,Chitwan,Bagmati,100.0
45,Police Station Narayangarh,Narayangarh,"Narayangarh, Chitwan, Nepal",,27.683,84.435,Chitwan,Bagmati,100.0
416,Police Station Narayangarh,Narayangarh,"Chitwan, Nepal",,27.68,84.43,Chitwan,Bagmati,100.0
46,Police Station Ratnanagar,Ratnanagar,"Tandi, Chitwan, Nepal",,27.615,84.5,Chitwan,Bagmati,100.0
417,Police Station Ratnanagar,Tandi,"Chitwan, Nepal",,27.62,84.5,Chitwan,Bagmati,100.0
828,Police Station Tandi,Tandi,"Chitwan, Nepal",,27.62,84.5,Chitwan,Bagmati,100.0
39,District Police Office Dhading,Dhadingbesi,"Dhadingbesi, Dhading, Nepal",,27.873,84.92,Dhading,Bagmati,100.0
423,District Police Office Dhading,Dhadingbesi,"Dhading, Nepal",,27.87,84.92,Dhading,Bagmati,100.0
682,Police Station Benighat,Benighat,"Dhading, Nepal",,27.8,84.88,Dhading,Bagmati,100.0
1260,Police Station Dhading,Dhadingbesi,"Dhading, Nepal",,27.87,84.92,Dhading,Bagmati,100.0
834,Police Station Dhadingbesi,Dhadingbesi,"Dhading, Nepal",,27.87,84.92,Dhading,Bagmati,100.0
425,Police Station Gajuri,Gajuri,"Dhading, Nepal",,27.82,84.88,Dhading,Bagmati,100.0
1937,Police Station Malekhu,Malekhu,"Dhading, Nepal",,27.83,84.83,Dhading,Bagmati,100.0
40,Police Station Naubise,Naubise,"Naubise, Dhading, Nepal",,27.75,85.08,Dhading,Bagmati,100.0
424,Police Station Naubise,Naubise,"Dhading, Nepal",,27.75,85.08,Dhading,Bagmati,100.0
131,District Police Office Dolakha,Charikot,"Charikot, Dolakha, Nepal",,27.67,86.05,Dolakha,Bagmati,100.0
434,District Police Office Dolakha,Charikot,"Dolakha, Nepal",,27.67,86.05,Dolakha,Bagmati,100.0
661,Police Station Baiteshwor,Baiteshwor,"Dolakha, Nepal",,27.7,86.1,Dolakha,Bagmati,100.0
1057,Police Station Bhimeshwar,Charikot,"Dolakha, Nepal",,27.67,86.05,Dolakha,Bagmati,100.0
845,Police Station Charikot,Charikot,"Dolakha, Nepal",,27.67,86.05,Dolakha,Bagmati,100.0
1250,Police Station Dolakha,Charikot,"Dolakha, Nepal",,27.67,86.05,Dolakha,Bagmati,100.0
132,Police Station Jiri,Jiri,"Jiri, Dolakha, Nepal",,27.63,86.23,Dolakha,Bagmati,100.0
435,Police Station Jiri,Jiri,"Dolakha, Nepal",,27.63,86.23,Dolakha,Bagmati,100.0
1058,Police Station Lamabagar,Lamabagar,"Dolakha, Nepal",,27.85,86.35,Dolakha,Bagmati,100.0
436,Police Station Singati,Singati,"Dolakha, Nepal",,27.78,86.03,Dolakha,Bagmati,100.0
601,District Police Office Kathmandu,Kathmandu,"Kathmandu, Nepal",,27.7172,85.324,Kathmandu,Bagmati,100.0
565,District Police Office Kathmandu Traffic,Kathmandu,"Kathmandu, Nepal",,27.7,85.32,Kathmandu,Bagmati,100.0
3,District Police Range Kathmandu,Kathmandu,"Teku, Kathmandu, Nepal",+97714261945,27.6958,85.3075,Kathmandu,Bagmati,100.0
2,Kathmandu Valley Police Office,Kathmandu,"Ratna Park, Kathmandu, Nepal",+97714231466,27.7048,85.3157,Kathmandu,Bagmati,100.0
