place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category,data_quality_score
Achham Mangalsen,29.12,81.25,Achham,2.0,6.0,0.0,5.0,6.0,5,4,1,60.0,55.0,58.0,Medium,100.0
Achham Ramaroshan,29.1,81.2,Achham,5.0,8.0,0.0,8.0,5.0,10,10,3,55.0,60.0,65.0,Medium,100.0
Achham Ramaroshan Area,29.35,81.3,Achham,8.0,13.0,4.0,8.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Achham Ramaroshan Lake,29.15,81.3,Achham,10.0,15.0,5.0,5.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Achham Ramaroshan Trail,29.1,81.2,Achham,9.0,13.0,4.0,6.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Achham Turmakhad,29.1,81.4,Achham,4.0,7.0,0.0,5.0,6.0,15,15,5,45.0,55.0,60.0,Medium,100.0
Bajrabarahi Temple,29.12,81.25,Achham,2.0,5.0,0.0,3.0,5.0,2,2,1,65.0,45.0,53.0,Medium,100.0
Bannigadhi Tourism Area,29.05,81.25,Achham,3.0,7.0,1.0,4.0,5.0,3,3,1,65.0,60.0,62.0,Medium,100.0
Khaptad Forest Camp,29.35,81.15,Achham,6.0,10.0,2.0,6.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Khaptad Lake Trail,29.33,81.22,Achham,10.0,15.0,5.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Khaptad National Park,29.3,81.15,Achham,8.0,12.0,0.0,5.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Khaptad National Park Center,29.3,81.2,Achham,8.0,12.0,2.0,4.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Khaptad National Park Village Route,29.35,81.15,Achham,6.0,10.0,2.0,6.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Khaptad Plateau Trail,29.35,81.2,Achham,10.0,15.0,2.0,4.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Mangalsen Bazaar,29.13,81.25,Achham,2.0,5.0,0.0,5.0,6.0,10,8,2,55.0,60.0,58.0,Medium,100.0
Mangalsen Rural Route,29.12,81.25,Achham,3.0,5.0,0.0,7.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Mangalsen Rural Viewpoint,29.13,81.25,Achham,4.0,7.0,0.0,8.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Mangalsen View Point,29.13,81.25,Achham,2.0,5.0,0.0,4.0,5.0,5,4,1,50.0,45.0,47.0,Medium,100.0
Mellekh Village Trail,29.2,81.15,Achham,6.0,10.0,3.0,6.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
