source,destination,district,province,transport_cost_usd,food_cost_day_usd,accommodation_night_usd,local_taxi_rick,data_quality_score
Lumbini,0,25-50,0,0.0,0.0,0.0,285-620,100.0
Gandaki,0,40-80,0,0.0,0.0,0.0,600-1100,100.0
Koshi,0,40-80,0,0.0,0.0,0.0,520-930,100.0
Bagmati,0,40-80,0,0.0,0.0,0.0,520-930,100.0
Karnali,0,50-100,0,0.0,0.0,0.0,1000-1600,100.0
Sudurpashchim,0,50-100,0,0.0,0.0,0.0,900-1600,100.0
10-30,20-40,5-10,0-10,0.0,0.0,0.0,,100.0
40-100,25-50,5-20,0-20,0.0,0.0,0.0,,100.0
80-150,25-50,10-20,10-20,0.0,0.0,0.0,,100.0
Koshi,10-20,15-30,10-20,0.0,0.0,0.0,148-380,100.0
Koshi,15-30,15-30,10-20,0.0,0.0,0.0,113-320,100.0
Madhesh,20-40,15-30,10-20,0.0,0.0,0.0,118-330,100.0
Koshi,20-40,15-30,10-20,0.0,0.0,0.0,158-400,100.0
Madhesh,30-60,15-30,10-20,0.0,0.0,0.0,168-420,100.0
Koshi,30-60,15-30,10-20,0.0,0.0,0.0,128-350,100.0
Sudurpashchim,30-60,20-40,10-20,0.0,0.0,0.0,215-455,100.0
Bagmati,40-80,20-40,10-20,0.0,0.0,0.0,225-475,100.0
Gandaki,40-80,20-40,10-20,0.0,0.0,0.0,225-555,100.0
Karnali,40-80,20-40,10-20,0.0,0.0,0.0,225-475,100.0
Koshi,70-130,20-40,10-20,0.0,0.0,0.0,255-605,100.0
Bagmati,70-130,20-40,10-20,0.0,0.0,0.0,255-605,100.0
Gandaki,70-130,20-40,10-20,0.0,0.0,0.0,255-605,100.0
Sudurpashchim,70-130,20-40,10-20,0.0,0.0,0.0,255-605,100.0
Koshi,70-140,20-40,10-20,0.0,0.0,0.0,255-615,100.0
Karnali,100-180,25-50,10-20,0.0,0.0,0.0,395-780,100.0
Koshi,100-180,25-50,10-20,0.0,0.0,0.0,395-770,100.0
Koshi,120-200,25-50,10-20,0.0,0.0,0.0,415-790,100.0
Madhesh,20-60,25-50,10-20,0.0,0.0,0.0,185-470,100.0
Koshi,30-100,25-50,10-20,0.0,0.0,0.0,175-470,100.0
Gandaki,30-100,25-50,10-20,0.0,0.0,0.0,150-410,100.0
Bagmati,30-90,25-50,10-20,0.0,0.0,0.0,145-400,100.0
Karnali,30-90,25-50,10-20,0.0,0.0,0.0,135-390,100.0
Sudurpaschim,40-100,25-50,10-20,0.0,0.0,0.0,145-400,100.0
Lumbini,40-120,25-50,10-20,0.0,0.0,0.0,185-490,100.0
Koshi,40-120,25-50,10-20,0.0,0.0,0.0,185-490,100.0
Gandaki,50-100,25-50,10-20,0.0,0.0,0.0,240-585,100.0
Bagmati,50-110,25-50,10-20,0.0,0.0,0.0,155-390,100.0
Lumbini,60-120,25-50,10-20,0.0,0.0,0.0,165-410,100.0
Gandaki,60-140,25-50,10-20,0.0,0.0,0.0,175-420,100.0
Lumbini,70-130,25-50,10-20,0.0,0.0,0.0,375-740,100.0
Karnali,70-130,25-50,10-20,0.0,0.0,0.0,375-740,100.0
Koshi,80-150,25-50,10-20,0.0,0.0,0.0,375-740,100.0
Lumbini,80-180,25-50,10-20,0.0,0.0,0.0,245-600,100.0
Koshi,90-160,25-50,10-20,0.0,0.0,0.0,385-750,100.0
