type,dest_id,dest_name,other_id,other_name,dist_m
hotel-dup,6261,Himalaya Tourist Guest House,2871,Himalaya Tourist Guest House,3
hotel-dup,6257,Laughing Buddha Guesthouse & Villa,3721,Laughing Buddha Guesthouse & Villa,3
hotel-dup,6236,Homestay Inn,1682,Homestay Inn,0
hotel-dup,6227,Temple Himalaya Hotel,3007,Temple Himalaya Hotel,27
hotel-dup,6204,Namaste Buddha Lodge,2817,Namaste Buddha Lodge,2
hotel-dup,6202,Hotel Sacred Hill,3114,Hotel Sacred Hill,12
hotel-dup,6201,Hotel Sacred Hill,3114,Hotel Sacred Hill,0
hotel-dup,6199,Lake Wave Cottage & Restaurent,3113,Lake Wave Cottage & Restaurent,0
hotel-dup,6192,Hotel Saptarangi,3840,Hotel Saptarangi,1
hotel-dup,6188,Alan Jack Private Homestay,3975,Alan Jack Private Homestay,2
hotel-dup,6186,Hermitage Hotel,1834,Hermitage Hotel,5
hotel-dup,6180,Hotel Potala,4249,Hotel Potala,0
hotel-dup,6139,Zambala Hotel,1859,Zambala Hotel,29
hotel-dup,6135,Hotel Grand Shambala,4248,Hotel Grand Shambala,0
hotel-dup,6134,Unique Wild Resort,1833,Unique Wild Resort,2
hotel-dup,6097,Hotel 360 Khumai,3109,Hotel 360 Khumai,0
hotel-dup,6094,Global Hotel,1832,Global Hotel,11
hotel-dup,6093,Soaltee Hotel,3839,Soaltee Hotel,56
hotel-dup,6092,Lakshmi homestay,3106,Lakshmi homestay,0
hotel-dup,6091,Club ES Resort,3105,Club ES Resort,0
hotel-dup,6089,Mattikhan Mountain View Resort,3104,Mattikhan Mountain View Resort,0
hotel-dup,6083,Tibet Guest House & Restaurant,4121,Tibet Guest House & Restaurant,0
hotel-dup,6077,Nice View Guest House and Restaurant,3102,Nice View Guest House and Restaurant,0
hotel-dup,6067,Everest Hotel,3838,Everest Hotel,1
hotel-dup,6061,The Malla Hotel,3836,The Malla Hotel,3
hotel-dup,6055,Hotel International,3831,Hotel International,0
hotel-dup,6048,Hotel Bharatpur Town Residency,1829,Hotel Bharatpur Town Residency,1
hotel-dup,6046,Hotel Kathmandu Base Camp,3826,Hotel Kathmandu Base Camp,1
hotel-dup,6044,KGH Hotel,3825,KGH Hotel,0
hotel-dup,6040,Low Camp Guest House,3101,Low Camp Guest House,0
hotel-dup,6027,Hotel Saisa,3100,Hotel Saisa,1
hotel-dup,6021,Jungle Villa Resort,1827,Jungle Villa Resort,8
hotel-dup,6012,Tashi Delek Hotel,1937,Tashi Delek Hotel,0
hotel-dup,5994,Basanta Lodge,3060,Basanta Lodge,13
hotel-dup,5993,Ghandruk Village Eco Lodge,3099,Ghandruk Village Eco Lodge,0
hotel-dup,5988,Royal Empire Boutique Hotel,3823,Royal Empire Boutique Hotel,1
hotel-dup,5982,Surya Heritage Hotel,3821,Surya Heritage Hotel,1
hotel-dup,5981,Hotel Darwin,3820,Hotel Darwin,0
hotel-dup,5965,Larke La Hotel & Lodge,1936,Larke La Hotel & Lodge,20
hotel-dup,5964,Larke La Hotel & Lodge,1936,Larke La Hotel & Lodge,0
hotel-dup,5963,Yak Hotel,1935,Yak Hotel,0
hotel-dup,5956,Nile Norling Guest House,1932,Nile Norling Guest House,2
hotel-dup,5955,Milarepa Hotel & Lodge,1931,Milarepa Hotel & Lodge,0
hotel-dup,5954,Chumling Guest House,1930,Chumling Guest House,0
hotel-dup,5953,Chhumbeli Tibetan Yak Hotel,1929,Chhumbeli Tibetan Yak Hotel,0
hotel-dup,5952,Kham-Sangbo Hotel & Lodge,1928,Kham-Sangbo Hotel & Lodge,0
hotel-dup,5951,New Pewa Guesthouse,1927,New Pewa Guesthouse,0
hotel-dup,5938,Riverside Guesthouse & Waterfall Bar,3098,Riverside Guesthouse & Waterfall Bar,0
hotel-dup,5926,Hotel Gangar Manaslu & Restaurant,4120,Hotel Gangar Manaslu & Restaurant,1
hotel-dup,5925,Hotel Marshyangdi Mandala,4119,Hotel Marshyangdi Mandala,0
hotel-dup,5922,Hotel Puspanjali Restaurant & Bar,3974,Hotel Puspanjali Restaurant & Bar,0
hotel-dup,5921,New Chum Valley Guest House,1926,New Chum Valley Guest House,0
hotel-dup,5920,Royal Mountain Hotel & Lodge,1925,Royal Mountain Hotel & Lodge,0
hotel-dup,5919,Laprak Gurung Bamboo Cottage & Restaurant,1924,Laprak Gurung Bamboo Cottage & Restaurant,0
hotel-dup,5918,Chum Nubri Ekle Bhatti Chisopi Guest House,1923,Chum Nubri Ekle Bhatti Chisopi Guest House,0
hotel-dup,5910,Hotel Vajra,3818,Hotel Vajra,7
hotel-dup,5905,Sherpa Resort,3097,Sherpa Resort,5
hotel-dup,5896,Hotel Nobel Inn,3096,Hotel Nobel Inn,1
hotel-dup,5895,Hotel Green Land,4946,Hotel Green Land,1
hotel-dup,5894,Hotel Mayur,3095,Hotel Mayur,0
hotel-dup,5877,Hotel Darsan,3091,Hotel Darsan,0
hotel-dup,5873,Himalayan Sherpa INN,3817,Himalayan Sherpa INN,0
hotel-dup,5851,Hotel Sherpa Restaurant,3090,Hotel Sherpa Restaurant,0
hotel-dup,5850,Metro Inn Pvt Ltd,3816,Metro Inn Pvt Ltd,0
hotel-dup,5847,Green View Guest House,2631,Green View Guest House,12
hotel-dup,5845,Hotel Peace Heven,3087,Hotel Peace Heven,0
hotel-dup,5844,A One View Hotel,3086,A One View Hotel,0
hotel-dup,5840,Nishan Lodge,2572,Nishan Lodge,18
hotel-dup,5838,Rupakot Resort,3084,Rupakot Resort,22
hotel-dup,5802,Nirvana Hotel,3083,Nirvana Hotel,1
hotel-dup,5798,Maharaja Hotel,3082,Maharaja Hotel,1
hotel-dup,5797,Hotel Lake Tower,3081,Hotel Lake Tower,0
hotel-dup,5793,Riverside Hotel and Lodge,1826,Riverside Hotel and Lodge,0
hotel-dup,5788,Archale Height Resort,3080,Archale Height Resort,0
hotel-dup,5785,Rock Garden Resort Pvt. Ltd,3079,Rock Garden Resort Pvt. Ltd,8
hotel-dup,5781,Hotel Manohara,1679,Hotel Manohara,0
hotel-dup,5762,Hotel Kaberi Inn,3813,Hotel Kaberi Inn,0
hotel-dup,5756,Kudbidanda Homestay,3078,Kudbidanda Homestay,1
hotel-dup,5751,Hotel Annapurna,3076,Hotel Annapurna,0
hotel-dup,5750,Hotel Isharu Green Point,3075,Hotel Isharu Green Point,0
hotel-dup,5749,Lali Gurans guesthouse & restaurant,3074,Lali Gurans guesthouse & restaurant,0
hotel-dup,5748,Hillside lodge & restaurant,3073,Hillside lodge & restaurant,0
hotel-dup,5746,High Camp guesthouse & restaurant,3072,High Camp guesthouse & restaurant,0
hotel-dup,5743,Tanting Guest House,3071,Tanting Guest House,0
hotel-dup,5740,Silver Sky Hotel,3069,Silver Sky Hotel,0
hotel-dup,5739,Gauri Shankar Guest House,3068,Gauri Shankar Guest House,2
hotel-dup,5738,Snow Hill Lodge,1949,Snow Hill Lodge,30
hotel-dup,5737,Sathi Guest House,3812,Sathi Guest House,1
hotel-dup,5719,Hotel Le Himalaya,3811,Hotel Le Himalaya,2
hotel-dup,5711,Ever Green Guest House,3065,Ever Green Guest House,0
hotel-dup,5710,Sangri-La Village Resort Pokhara,3064,Sangri-La Village Resort Pokhara,9
hotel-dup,5709,Nepal Guest House,3063,Nepal Guest House,0
hotel-dup,5708,B & B Hotel,3062,B & B Hotel,3
hotel-dup,5707,Little Buddha Guest House,3061,Little Buddha Guest House,0
hotel-dup,5699,Basanta Lodge,3060,Basanta Lodge,0
hotel-dup,5698,Fire and Fishing Hotel,3059,Fire and Fishing Hotel,0
hotel-dup,5692,Thakali Lodge & Restaurant,3057,Thakali Lodge & Restaurant,0
hotel-dup,5691,Laxmi Group Guest house,3004,Laxmi Group Guest house,67
hotel-dup,5690,Siwai Guest House & Restaurant,3056,Siwai Guest House & Restaurant,0
hotel-dup,5689,Unique Guest House,3055,Unique Guest House,0
hotel-dup,5688,Indreni Guest House,3054,Indreni Guest House,0
hotel-dup,5687,Sakura Hotel,3053,Sakura Hotel,0
hotel-dup,5686,Kalabang Gharedi Homestay 2,3052,Kalabang Gharedi Homestay 2,0
hotel-dup,5685,Hotel Third Pole,3051,Hotel Third Pole,2
hotel-dup,5681,Tashling Guest House,3048,Tashling Guest House,0
hotel-dup,5678,Chautari Boutique Hotel,3046,Chautari Boutique Hotel,0
hotel-dup,5677,Crony Cottage Lodge,3045,Crony Cottage Lodge,0
hotel-dup,5676,Trekking Lodge,3044,Trekking Lodge,0
hotel-dup,5675,Hotel Rita Inn,3043,Hotel Rita Inn,0
hotel-dup,5674,Sports Hotel Pokhara,3042,Sports Hotel Pokhara,0
hotel-dup,5673,Florida Guest House,3041,Florida Guest House,0
hotel-dup,5672,Hotel Stay Pokhara,3040,Hotel Stay Pokhara,0
hotel-dup,5671,Hotel Aashika,3039,Hotel Aashika,0
hotel-dup,5670,Hotel Mantra Inn,3038,Hotel Mantra Inn,1
hotel-dup,5669,Hotel Swiss Home,3037,Hotel Swiss Home,0
hotel-dup,5668,hotel beizing,3036,hotel beizing,1
hotel-dup,5667,Hotel Utsab Himalaya,3035,Hotel Utsab Himalaya,1
hotel-dup,5666,Hotel Marcopolo,3034,Hotel Marcopolo,0
hotel-dup,5665,Hotel Yeti,3033,Hotel Yeti,0
hotel-dup,5664,Hotel Dragon,3032,Hotel Dragon,2
hotel-dup,5661,Ripisha Guest House,3030,Ripisha Guest House,0
