name,amenity,tourism,office,emergency,phone,email,website,opening_hours,operator,brand,addr:street,addr:city,addr:postcode,latitude,longitude
Nirvana Garden Hotel,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7127441,85.3096875
Hotel Shanker,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7189329,85.3199249
Tibet Peace Guest House,Not Available,guest_house,Not Available,Not Available,+97714381026,tpghouse@wlink.com.np,https://www.tibetpeace.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7179328,85.3088723
International Guesthouse,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,http://www.ighouse.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.716056,85.3080357
हिमालय बैंक,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Himalayan Bank,Not Available,Not Available,Not Available,Not Available,27.7137361,85.3134911
Balkhu,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6847585,85.2980741
Kalimati,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.6963576,85.2993664
Taishan Hotel,Not Available,hotel,Not Available,Not Available,015902299,Not Available,Not Available,24/7,Not Available,Not Available,Amrit marg,Not Available,Not Available,27.7113111,85.3117495
एभरेस्ट बैंक,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7165781,85.3117935
Pilgrims Guest House,Not Available,hotel,Not Available,Not Available,9841390883,reservation@pilgrimsguesthouse.com,http://www.pilgrimsguesthouse.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.717619,85.3115799
Avalon House,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7187929,85.3115107
मनमोहन मेमोरियल अस्पताल,hospital,Not Available,Not Available,Not Available,Not Available,Not Available,https://mmchospital.org.np/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7179394,85.3112441
Kumari Hotel,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7152564,85.3112966
Hotel Manang,Not Available,hotel,Not Available,Not Available,9851052685,sales@hotelmanang.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7177391,85.3101198
Kathmandu Grand Hotel,Not Available,hotel,Not Available,Not Available,+97714701483,kathmandugrandhotel@gmail.com,https://www.kathmandugrandhotel.com,Not Available,Not Available,Not Available,Chaksibari Marg,Kathmandu,44600,27.7173404,85.3101843
Marshyangdi Hotel,Not Available,hotel,Not Available,Not Available,9851057618,sales@hotelmarshyangdi.com,Not Available,Not Available,Not Available,Not Available,Chaksibari Marg,Thamel,Not Available,27.7170604,85.3101629
Tradition,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7155417,85.3091972
KIST Bank,bank,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7138262,85.3114452
Lailai Hotel,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7099108,85.306275
Ganesh Himal Hotel,Not Available,hotel,Not Available,Not Available,9851058569,info@hotelganeshhimal.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7098396,85.3065477
रेन्जरहरू,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7073176,85.2925744
Potala Guesthouse,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,https://www.potalaguesthouse.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7122773,85.310626
नबिल बैंक,atm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7029907,85.3091728
Tinchuli chowk,police,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.727001,85.3686237
Excelsior Hotel,Not Available,hotel,Not Available,Not Available,+97714257748,Not Available,http://www.excelsiornepal.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7145164,85.3105455
Vaishali,Not Available,hotel,Not Available,Not Available,9851043479,info@hotelvaishali.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7166119,85.3111787
Surya,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7154882,85.311547
Namaskar,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7161924,85.3112782
Iceland,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7164382,85.3101463
Impala,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7175447,85.3101951
Karma,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7163128,85.3109255
Thara,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7124799,85.3112618
Poon Hill,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7115695,85.3090587
Hotel Blue Diamond,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jyatha Street,Kathmandu,Not Available,27.7123764,85.3120896
Pisang,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7129315,85.3110456
Lhasa,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7118221,85.3120405
Utse,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,https://utsehotel.com/,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7121432,85.3122725
Yanki,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7118116,85.3090654
Norling Guesthouse,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7104358,85.3111012
My Home,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7130291,85.3110593
Hotel Elite,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7109599,85.312051
Norling,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7123965,85.3122679
Annapurna,Not Available,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7173881,85.312673
यती,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7164231,85.3136584
शक्ति,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7167364,85.3129529
Samsara Resort,Not Available,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27.7168609,85.3109242
