ID,Name,Type,Tourism_Category,Latitude,Longitude,City,features
267667122,Rockland Hotel,node,hotel,28.2113597,83.9631084,,node hotel 
297440084,Shangri La,node,hotel,28.8364316,83.7830476,,node hotel 
297440085,Yak Hotel,node,hotel,28.7114278,83.6487653,,node hotel 
316984536,Madhuban,node,hotel,27.72423,85.5244848,,node hotel 
316985065,The Lakeside Retreat - Pokhara,node,hotel,28.2043486,83.9662542,Pokhara,node hotel Pokhara
316995112,Indra Guest House,node,guest_house,28.3490978,83.7421334,,node guest_house 
317040754,Nirvana Garden Hotel,node,hotel,27.7127441,85.3096875,,node hotel 
339102258,Dakshinkali Resort,node,hotel,27.6069446,85.2674087,,node hotel 
354456043,Family guesthouse,node,hotel,27.6127139,85.2641817,,node hotel 
419103135,Hotel Everest,node,guest_house,27.8039633,86.7084737,,node guest_house 
425189331,Yeti Inn,node,guest_house,27.8677535,86.7298787,,node guest_house 
428552946,Everest View,node,viewpoint,27.8196122,86.7236602,,node viewpoint 
442197769,Kongde Peak Guest House,node,guest_house,27.7509099,86.7114434,,node guest_house 
442260810,Paradise Lodge,node,guest_house,27.8934679,86.7191977,,node guest_house 
484488430,Cho La Pass Resort,node,guest_house,27.9406302,86.7199459,,node guest_house 
520698757,Sarangkot Viewpoint,node,viewpoint,28.2436947,83.9574975,,node viewpoint 
520702266,Lonely View Lodge,node,guest_house,28.218097,83.9592252,,node guest_house 
530579647,Dhaulagiri,node,viewpoint,28.6976088,83.4894884,,node viewpoint 
553319545,Hotel Arniko,node,hotel,27.6240666,85.5492571,,node hotel 
558561826,Hotel Shanker,node,hotel,27.7189329,85.3199249,,node hotel 
564109888,Pangboche,node,guest_house,27.8565776,86.7880999,,node guest_house 
564120040,Monjo,node,guest_house,27.7714811,86.722963,,node guest_house 
564120295,Phakding,node,guest_house,27.7435581,86.7128481,,node guest_house 
564122715,Lukla Lodge,node,guest_house,27.6934465,86.7279924,,node guest_house 
565159946,मकालु 马卡鲁峰,node,viewpoint,27.8914385,87.0884403,,node viewpoint 
567131171,Wildlife Camp,node,hotel,27.5796638,84.4944877,,node hotel 
567142203,Tharu Cultural Museum,node,museum,27.581435,84.5084926,,node museum 
567142207,Tharu Cultural Museum,node,museum,27.5823723,84.5075435,,node museum 
567142502,Chitwan National Park Info Office,node,information,27.5741111,84.4937879,,node information 
567151136,Elephant Riding,node,attraction,27.5943703,84.4814665,,node attraction 
567943577,The White Lake,node,hotel,27.8657895,83.5442615,,node hotel 
568497246,Boat for rent,node,attraction,28.2034895,83.9626075,,node attraction 
568542954,Hotel Landmark,node,hotel,28.2078818,83.9575377,,node hotel 
575231594,Tibet Peace Guest House,node,guest_house,27.7179328,85.3088723,,node guest_house 
576713400,Camp 4S South Col,node,camp_site,27.9733654,86.9302508,,node camp_site 
587211680,Omje Khola Campsite,node,camp_site,27.4828061,87.9126748,,node camp_site 
598257096,Upper-Tseram,node,camp_site,27.575468,87.9800844,,node camp_site 
601450235,Hotel Tashi Delek,node,hotel,28.1106827,85.3402831,,node hotel 
603104985,Hotel Lake Side,node,hotel,28.0841016,85.4100228,,node hotel 
603104987,Namaste Hotel & Lodge,node,alpine_hut,28.0344607,85.4814679,,node alpine_hut 
605254986,Hotel Green Land,node,hotel,28.3006837,83.8487103,,node hotel 
632389714,Blue Star lodge,node,hotel,28.1427659,85.360258,,node hotel 
632389757,Hotel Ganesh View Lodge,node,guest_house,28.1588314,85.4210754,,node guest_house 
632389897,Lower Kyāṅjiṅ Ri,node,viewpoint,28.2176703,85.5706875,,node viewpoint 
671300772,Himalaya Apartments,node,hotel,27.675673,85.3132198,,node hotel 
703894849,Everest View,node,viewpoint,27.7935073,86.7158913,,node viewpoint 
703894933,Everest View Point,node,viewpoint,27.8025621,86.7153093,,node viewpoint 
703971944,View to Cho Oyu,node,viewpoint,27.94847,86.6151392,,node viewpoint 
703972266,रेंजो ला,node,viewpoint,27.9473697,86.6584966,,node viewpoint 
703972430,Namaste Lodge,node,guest_house,27.8050237,86.7106252,,node guest_house 
704001184,Lodge,node,guest_house,27.8456213,86.7486502,,node guest_house 
