osm_type,osm_id,name,tourism,description,website,phone,email,opening_hours,wikidata,wikipedia,operator,district,latitude,longitude
node,1942507475,Lion statue,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6721039,85.42898
node,2054092038,कैलाशनाथ महादेव मूर्ति / Kailashnath Mahadev Statue,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6461439,85.474109
node,2060240290,Statue of Sleeping Narayan,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6765998,85.4312982
node,2183344626,Nilbarahi Picnic spot,picnic_site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6951871,85.3960129
node,4235620291,Rames,viewpoint,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6749671,85.3870724
node,4243026503,Barudkhana,viewpoint,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6825695,85.4103121
node,4243029634,Shakhal Basti,viewpoint,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6781793,85.4074757
node,4243030036,Dandipakha,viewpoint,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6820235,85.4089415
node,4265554225,Divyeshwari guest house,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6763023,85.3880282
node,4324789213,Hotel Rudrakshya,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7096081,85.4540659
node,4324884018,Hotel Sunrise,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7107497,85.5034867
node,4325931190,International Green Developers Nepal,attraction,Not Available,http://gorkhaecopanel.com,5122026.0,info@gorkhaecopanel.com,24/7,Not Available,Not Available,Not Available,Bhaktapur,27.6670906,85.4428107
node,4348451709,chhyabasti,viewpoint,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7172935,85.4683588
node,4348472318,Trisuldanda,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7105508,85.4543074
node,4373340695,TOURIST GUIDE PROVIDER,information,Not Available,Not Available,9779860674052.0,beebayekkatwal109@gmail.com,Mo-Su 05:00-22:00,Not Available,Not Available,Not Available,Bhaktapur,27.6704701,85.3863919
node,5280998726,Gankhu dharamapur dol,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6861196,85.3947658
node,5581298162,Hotel Panaroma Inn Restaurant & Bar,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7182343,85.5186959
node,6499238763,Guru Ganesh Hair Cutting;Magam Ganesh,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7170937,85.4284047
node,6499243432,Changu Museum,museum,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7165172,85.4292412
node,6499299153,Swarga Art Healing School,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7163046,85.4285593
node,6499299171,Sunshine Art Work Shop,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7163772,85.4288266
node,6499299182,Changu Thanka Paimting School,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.716391,85.4289239
node,6501781254,Picnic Spot,picnic_site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7188579,85.4315766
node,6501781255,Picnic spot,picnic_site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7175407,85.4316446
node,6502071470,Shiv,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7164307,85.4280712
node,6502173117,Vishworoop,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.716219,85.4278276
node,6502173118,Budanilkantha,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7162037,85.4278179
node,6502174565,Praying statue of King and Queen,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7164399,85.4278189
node,6502174566,Garudha statue,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7164585,85.4278447
node,8009598335,Changunarayan,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7162258,85.428356
node,8049278035,Kausaltar Aquarium House,aquarium,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6741447,85.3651986
node,8826582438,King Birendra Bir Bikram Shah,artwork,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6712632,85.4178502
node,9063324417,Sakha Kirana store,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Manish Sakha,Bhaktapur,27.678514,85.4806957
node,9914495217,Pandu Bazar,apartment,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.660787,85.4207876
node,9956153338,Tiger Of Jiri Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6749208,85.3624816
node,9999145675,Sagarmatha Hotel and Lodge,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6745908,85.3556793
node,9999376980,A One Minawasi Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6702964,85.3549726
node,10022345999,German Homes Hospitality EVENT VENUE/RESTRUNT & BAR,motel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6740412,85.3761426
node,10050712668,Chandra Krishna Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6916277,85.3871869
node,10053738809,"Paryatak Suchana Kendra Madhyapur, Thimi",information,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.674106,85.3853586
node,10060007983,Tourism Information Centre,information,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.673964,85.3852822
node,10068876012,Balkumari Temple,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6759475,85.3853144
node,10068876014,Dhungedhara,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6747147,85.3850274
node,10081035119,Siwa Tole,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6777491,85.3867212
node,10081035120,Nigu Pukhu,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.678356,85.3856376
node,10110364491,Sijan Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6731992,85.3815499
node,10220062533,R.S. Khaja Ghar,hotel,Not Available,Not Available,Not Available,Not Available,Mo-Su 07:00-20:00,Not Available,Not Available,Not Available,Bhaktapur,27.641779,85.4771774
node,10220062534,Mata Manakamana Bakery And Dairy Pasal,hotel,Not Available,Not Available,9841102814.0,Not Available,Mo-Su 07:00-20:00,Not Available,Not Available,Not Available,Bhaktapur,27.6418077,85.4772776
node,10220062535,Ronisha Store,hotel,Not Available,Not Available,9860146141.0,Not Available,Mo-Su 07:00-20:00,Not Available,Not Available,Not Available,Bhaktapur,27.6417974,85.4772743
node,10220062536,Pragya Cold Store,hotel,Not Available,Not Available,98414915817.0,Not Available,Mo-Su 07:00-20:00,Not Available,Not Available,Not Available,Bhaktapur,27.6417554,85.4771498
node,10833741289,Gam Dhoka Park,viewpoint,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7170626,85.4261389
node,10877078523,Panaroma inn,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.7181889,85.5186394
node,11072634297,Golden Gate,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6717202,85.4288245
node,11224956738,Hostel Swastik,hostel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6757484,85.4341549
node,11361854869,सचेतना टोल प्रवेशद्वार,chalet,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6790869,85.3631332
node,11413897089,होटेल घ्याम्पेडाँडा,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6366905,85.4267282
node,11704312369,Hotel Rupakot restaurant & Rooftop,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6703048,85.4281989
node,11933447018,Bhaktapur Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6715455,85.4222716
node,11933491594,Kanchanjunga Guest House and Special Bhancha Ghar,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6715059,85.4221145
node,11933612745,khwopa Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.670375,85.4286301
node,11933631476,Sunny Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6713202,85.4297063
node,11934388511,Moon Light Guest House & Rootop Newari Foodland,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6715904,85.4300141
node,11934473419,Big Bell Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6727407,85.4345282
node,11934473524,Pradhan House Homestay,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6733744,85.4348481
node,11934484488,Peacock Guest House,guest_house,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6733868,85.4349889
node,11934802170,Brass & Bronze Museum,museum,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6737206,85.435587
node,12135402392,Tujala Boutique Hotel,hotel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6729253,85.4292349
node,12287948902,Pottery Square (Talako Tole),attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.669897,85.427743
node,12288007901,Cremation Site,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.668279,85.4307257
node,12289963601,Thanthu Dubar,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6723335,85.4284866
node,12289964101,Yamadvar chowk,attraction,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bhaktapur,27.6722731,85.4283818
