ID,Name,Type,Tourism_Category,Latitude,Longitude,City
267667122,Rockland Hotel,node,hotel,28.2113597,83.9631084,
267691994,N/A,node,guest_house,28.045968,84.8124552,
267692543,N/A,node,guest_house,28.0312584,84.9665031,
267757987,N/A,node,guest_house,28.1896731,85.199278,
267768922,N/A,node,hotel,28.1612195,85.3365711,
297440084,Shangri La,node,hotel,28.8364316,83.7830476,
297440085,Yak Hotel,node,hotel,28.7114278,83.6487653,
316984536,Madhuban,node,hotel,27.72423,85.5244848,
316985065,The Lakeside Retreat - Pokhara,node,hotel,28.2043486,83.9662542,Pokhara
316995112,Indra Guest House,node,guest_house,28.3490978,83.7421334,
317040754,Nirvana Garden Hotel,node,hotel,27.7127441,85.3096875,
339102258,Dakshinkali Resort,node,hotel,27.6069446,85.2674087,
354456043,Family guesthouse,node,hotel,27.6127139,85.2641817,
388572039,N/A,node,viewpoint,28.5262906,83.9066751,
419103135,Hotel Everest,node,guest_house,27.8039633,86.7084737,
425189331,Yeti Inn,node,guest_house,27.8677535,86.7298787,
425189578,N/A,node,viewpoint,27.7915295,86.7167336,
428552946,Everest View,node,viewpoint,27.8196122,86.7236602,
442197769,Kongde Peak Guest House,node,guest_house,27.7509099,86.7114434,
442260810,Paradise Lodge,node,guest_house,27.8934679,86.7191977,
484488430,Cho La Pass Resort,node,guest_house,27.9406302,86.7199459,
520698757,Sarangkot Viewpoint,node,viewpoint,28.2436947,83.9574975,
520702266,Lonely View Lodge,node,guest_house,28.218097,83.9592252,
530579647,Dhaulagiri,node,viewpoint,28.6976088,83.4894884,
553319545,Hotel Arniko,node,hotel,27.6240666,85.5492571,
553334409,N/A,node,viewpoint,27.5713226,85.5815355,
553340019,N/A,node,viewpoint,27.5699799,85.5802032,
556346445,N/A,node,hotel,28.6028785,83.643428,
558561826,Hotel Shanker,node,hotel,27.7189329,85.3199249,
560496817,N/A,node,viewpoint,27.7101439,85.3492969,
564109888,Pangboche,node,guest_house,27.8565776,86.7880999,
564110625,N/A,node,guest_house,27.8560011,86.7926626,
564120040,Monjo,node,guest_house,27.7714811,86.722963,
564120295,Phakding,node,guest_house,27.7435581,86.7128481,
564122715,Lukla Lodge,node,guest_house,27.6934465,86.7279924,
565159946,मकालु 马卡鲁峰,node,viewpoint,27.8914385,87.0884403,
567131171,Wildlife Camp,node,hotel,27.5796638,84.4944877,
567142203,Tharu Cultural Museum,node,museum,27.581435,84.5084926,
