Source,Destination,District,Province,Transport Cost (USD),Food Cost/Day (USD),Accommodation/Night (USD),Local Taxi/Rick
Pokhara,Manang Village,Manang,Gandaki,40-120,25-50,10-30,5-20,50-200,30-100,70-200
Biratnagar,Ilām Municipality,Ilam,Koshi,15-35,10-25,15-50,3-10,50-150,20-80,45-165
Kathmandu,Bharatpur Metropolitan City,Chitwan,Bagmati,8-20,10-25,15-60,3-10,50-150,20-80,50-175
Butwal,Tansen Municipality,Palpa,Lumbini,8-20,10-25,15-50,3-10,50-150,20-80,45-165
Dharan,Solududhkunda Municipality,Solukhumbu,Koshi,80-200,25-50,10-30,5-20,100-300,50-150,90-250
Nepalgunj,Jumla Municipality,Jumla,Karnali,80-180,25-50,10-30,5-20,100-250,50-150,90-250
Janakpur,Birgunj Metropolitan City,Parsa,Madhesh,8-20,10-25,15-50,3-10,50-150,20-80,45-165
Pokhara,Ghandruk,Kaski,Gandaki,15-40,20-40,10-25,5-15,50-150,20-80,55-150
Kathmandu,Nuwakot Municipality,Nuwakot,Bagmati,5-20,10-25,10-40,3-10,50-150,20-70,45-145
Birgunj,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati,8-20,10-25,15-60,3-10,50-150,20-80,50-175
Hetauda,Sindhuli Municipality,Sindhuli,Bagmati,10-30,10-25,10-40,3-10,50-150,20-80,45-165
Dhangadhi,Api Himal Rural Municipality,Darchula,Sudurpashchim,80-200,25-50,10-30,5-25,100-300,50-150,90-250
Pokhara,Besisahar,Lamjung,Gandaki,10-30,15-30,10-40,3-10,50-150,20-80,45-160
Kathmandu,Ramechhap Municipality,Ramechhap,Bagmati,10-30,15-30,10-40,3-10,50-150,20-80,45-160
Bharatpur,Sauraha,Chitwan,Bagmati,5-15,10-25,20-80,3-10,50-150,30-100,60-200
Lalitpur,Bhaktapur Municipality,Bhaktapur,Bagmati,3-10,10-25,15-50,3-10,50-150,20-70,45-155
Pokhara,Muktinath,Mustang,Gandaki,80-150,25-50,10-30,5-20,100-250,50-150,90-250
Dharan,Illam Municipality,Ilam,Koshi,20-50,15-30,15-50,5-15,50-150,20-80,55-175
Nepalgunj,Bardia National Park,Bardiya,Lumbini,10-30,10-30,20-80,5-15,50-150,30-100,65-200
Kathmandu,Lukla,Solukhumbu,Koshi,180-250,25-50,10-30,5-20,100-300,50-150,90-250
Pokhara,Annapurna Base Camp,Kaski,Gandaki,20-50,25-50,5-15,5-15,100-250,50-150,85-230
Kathmandu,Langtang Village,Rasuwa,Bagmati,30-80,25-45,5-15,5-20,100-250,40-120,75-220
Pokhara,Mardi Himal,Kaski,Gandaki,20-50,20-40,5-15,5-15,80-200,30-100,70-200
Kathmandu,Gorkha Municipality,Gorkha,Gandaki,15-40,15-30,15-50,3-10,50-150,20-80,55-170
Pokhara,Baglung Municipality,Baglung,Gandaki,10-30,15-30,15-40,3-10,50-150,20-80,50-160
Biratnagar,Dharan,Sunsari,Koshi,5-15,10-25,20-60,3-10,50-150,20-70,45-165
Dharan,Phidim Municipality,Panchthar,Koshi,20-50,15-30,10-40,5-15,50-150,20-80,50-165
Kathmandu,Charikot,Dolakha,Bagmati,10-30,15-30,15-50,3-10,50-150,20-80,50-170
Pokhara,Beni Municipality,Myagdi,Gandaki,15-40,15-35,10-40,5-15,50-150,20-90,50-170
Bharatpur,Devghat,Tanahun,Gandaki,5-20,10-25,10-40,3-10,50-150,20-70,45-145
Butwal,Lumbini Cultural Area,Rupandehi,Lumbini,5-15,10-25,20-60,3-10,50-150,20-70,50-165
Kathmandu,Helambu,Sindhupalchok,Bagmati,20-50,20-40,5-15,5-15,80-200,30-100,70-200
Pokhara,Tatopani,Myagdi,Gandaki,20-50,20-40,10-30,5-15,50-150,20-100,65-190
Dhangadhi,Kailali Rural Area,Kailali,Sudurpashchim,5-20,10-25,10-40,3-10,50-150,20-70,45-145
Kathmandu,Hetauda,Makwanpur,Bagmati,8-20,10-25,20-60,3-10,50-150,20-80,50-175
Birgunj,Simara,Bara,Madhesh,5-15,10-25,15-50,3-10,50-150,20-70,45-160
Janakpur,Rajbiraj,Saptari,Madhesh,10-30,10-25,15-50,3-10,50-150,20-80,50-165
Pokhara,Tansen,Palpa,Lumbini,15-40,15-30,15-50,3-10,50-150,20-80,55-170
Nepalgunj,Surkhet Municipality,Surkhet,Karnali,20-60,15-35,15-50,5-15,50-200,30-100,60-200
Kathmandu,Salleri,Solukhumbu,Koshi,60-150,25-45,10-30,5-20,100-250,40-120,80-220
Pokhara,Mustang District,Mustang,Gandaki,120-200,25-50,10-30,5-20,100-300,50-150,90-250
Dhangadhi,Baitadi Municipality,Baitadi,Sudurpashchim,40-100,20-40,10-30,5-15,50-200,30-100,70-200
Kathmandu,Dhulikhel,Kavrepalanchok,Bagmati,5-20,10-25,20-80,3-10,50-150,20-80,55-180
Biratnagar,Ilām Tea Garden Area,Ilam,Koshi,15-40,15-30,15-50,5-15,50-150,20-80,55-175
Kathmandu,Pokhara,Kaski,Gandaki,8-120,15-30,15-80,3-10,50-200,20-100,50-220
Pokhara,Manang,Manang,Gandaki,40-120,25-50,10-30,5-20,100-250,30-100,70-200
Biratnagar,Taplejung Municipality,Taplejung,Koshi,40-90,20-40,10-40,5-20,50-200,20-100,60-190
Kathmandu,Bandipur,Tanahun,Gandaki,15-40,15-30,20-80,3-10,50-150,20-80,60-180
Butwal,Palpa Tansen,Palpa,Lumbini,8-20,10-25,15-50,3-10,50-150,20-70,45-160
Pokhara,Ghorepani,Myagdi,Gandaki,20-50,20-40,5-15,5-15,80-200,30-100,70-200
Kathmandu,Nagarkot,Bhaktapur,Bagmati,5-20,10-25,20-100,3-10,50-150,20-80,55-200
Nepalgunj,Bardiya National Park,Bardiya,Lumbini,10-30,10-30,20-80,5-15,50-150,30-100,65-200
Dhangadhi,Darchula,Darchula,Sudurpashchim,60-150,20-45,10-30,5-20,100-250,40-120,80-220
Janakpur,Malangwa,Sarlahi,Madhesh,8-20,10-25,10-40,3-10,50-150,20-70,45-145
Kathmandu,Rolpa Municipality,Rolpa,Lumbini,50-120,20-40,10-30,5-20,50-200,30-100,70-210
Pokhara,Marpha,Mustang,Gandaki,100-180,25-50,10-30,5-20,100-250,50-150,90-250
Kathmandu,Dhunche,Rasuwa,Bagmati,20-50,20-40,10-30,5-15,80-200,30-100,70-200
Hetauda,Bharatpur,Chitwan,Bagmati,8-20,10-25,15-60,3-10,50-150,20-80,50-175
Birgunj,Kathmandu,Kathmandu,Bagmati,10-30,10-25,15-70,3-10,50-150,20-80,50-180
Pokhara,Lamjung,Lamjung,Gandaki,10-30,15-30,10-40,3-10,50-150,20-80,50-160
Kathmandu,Solukhumbu,Solukhumbu,Koshi,80-250,25-50,10-30,5-25,100-300,50-150,90-250
Dharan,Inaruwa,Sunsari,Koshi,5-15,10-25,10-40,3-10,50-150,20-70,45-145
Bharatpur,Sauraha,Chitwan,Bagmati,5-15,10-25,20-80,3-10,50-150,30-100,60-200
Pokhara,Jomsom,Mustang,Gandaki,120-180,25-50,10-30,5-20,100-250,50-150,90-250
Kathmandu,Goljung,Rasuwa,Bagmati,25-60,20-40,10-30,5-15,80-200,30-100,70-200
Biratnagar,Damak,Jhapa,Koshi,10-25,10-25,15-50,3-10,50-150,20-70,45-160
Kathmandu,Chautara,Sindhupalchok,Bagmati,10-30,15-30,15-50,3-10,50-150,20-80,50-170
Pokhara,Lo Manthang,Mustang,Gandaki,200-400,30-60,10-40,5-30,150-300,100-200,120-350
Dhangadhi,Godawari,Kailali,Sudurpashchim,5-15,10-25,10-40,3-10,50-150,20-70,45-145
Kathmandu,Banepa,Kavrepalanchok,Bagmati,5-15,10-25,15-50,3-10,50-150,20-70,45-155
Pokhara,Kushma,Parbat,Gandaki,10-30,15-30,10-40,3-10,50-150,20-80,50-160
Butwal,Tamghas,Gulmi,Lumbini,15-40,15-30,10-40,5-15,50-150,20-80,55-170
Kathmandu,Ramechhap,Ramechhap,Bagmati,15-40,15-30,10-40,5-15,50-150,20-80,55-170
Nepalgunj,Jajarkot,Jajarkot,Karnali,60-150,25-45,10-30,5-20,100-250,50-120,90-220
Kathmandu,Dailekh,Dailekh,Karnali,50-120,20-40,10-30,5-20,100-200,40-100,80-200
Pokhara,Syangja,Syangja,Gandaki,8-20,10-25,10-40,3-10,50-150,20-70,45-150
Biratnagar,Khandbari,Sankhuwasabha,Koshi,50-120,20-40,10-30,5-20,100-200,40-120,80-220
Kathmandu,Bhimeshwar,Dolakha,Bagmati,15-40,15-30,10-40,5-15,50-150,20-80,55-170
Pokhara,Galeshwor,Myagdi,Gandaki,15-40,15-35,10-40,5-15,50-150,20-90,50-170
Kathmandu,Malekhu,Dhading,Bagmati,5-20,10-25,10-40,3-10,50-150,20-70,45-145
Janakpur,Bardibas,Mahottari,Madhesh,5-15,10-25,10-40,3-10,50-150,20-70,45-145
Birgunj,Hetauda,Makwanpur,Bagmati,8-20,10-25,15-60,3-10,50-150,20-80,50-175
Pokhara,Chame,Manang,Gandaki,40-100,25-50,10-30,5-20,100-250,30-100,70-200
Kathmandu,Phidim,Panchthar,Koshi,50-100,20-40,10-30,5-20,50-200,30-100,70-190
Dharan,Bhojpur,Bhojpur,Koshi,20-60,20-40,10-30,5-20,50-200,20-100,60-190
Butwal,Kapilvastu,Kapilvastu,Lumbini,5-15,10-25,10-40,3-10,50-150,20-70,45-145
Nepalgunj,Surkhet,Surkhet,Karnali,20-60,15-35,15-50,5-15,50-200,30-100,60-200
Kathmandu,Shivapuri,Nuwakot/Bhaktapur,Bagmati,5-15,10-25,10-40,3-10,50-150,20-70,45-145
Pokhara,Tukuche,Mustang,Gandaki,100-180,25-50,10-30,5-20,100-250,50-150,90-250
Dhangadhi,Achham,Achham,Sudurpashchim,40-100,20-40,10-30,5-15,50-200,30-100,70-200
Kathmandu,Okhaldhunga,Okhaldhunga,Koshi,50-120,20-40,10-30,5-20,50-200,30-100,70-200
Biratnagar,Udayapur,Udayapur,Koshi,20-50,15-30,10-40,5-15,50-150,20-80,55-170
Pokhara,Baglung,Baglung,Gandaki,10-30,15-30,15-40,3-10,50-150,20-80,50-160
Kathmandu,Patan Durbar Square,Lalitpur,Bagmati,
Kathmandu,Patan Durbar Square,Lalitpur,Bagmati,5-15,10-25,10-40,3-10,50-150,20-70,45-145
Kathmandu,Bhaktapur Durbar Square,Bhaktapur,Bagmati,5-15,10-25,10-40,3-10,50-150,20-70,45-145
Kathmandu,Pashupatinath,Kathmandu,Bagmati,3-10,10-25,5-20,0-5,50-150,10-50,40-120
Kathmandu,Swayambhunath,Kathmandu,Bagmati,3-10,10-25,5-20,3-10,50-150,10-50,40-130
Kathmandu,Boudhanath,Kathmandu,Bagmati,5-15,10-25,5-20,3-10,50-150,10-60,45-140
Kathmandu,Chisapani,Nuwakot,Bagmati,15-40,15-30,20-60,5-15,50-150,30-100,60-180
Kathmandu,Helambu,Sindhupalchok,Bagmati,20-50,20-40,10-30,5-20,100-250,50-150,90-250
Kathmandu,Gosainkunda,Rasuwa,Bagmati,30-70,20-40,10-30,10-30,100-250,50-200,120-300
Kathmandu,Kalinchowk,Dolakha,Bagmati,25-60,20-40,10-30,5-20,80-200,40-150,100-250
Kathmandu,Tibetan Border,Rasuwa,Bagmati,30-80,20-40,20-50,5-20,100-250,50-150,120-300
Kathmandu,Namobuddha,Kavrepalanchok,Bagmati,10-30,15-30,10-40,3-10,50-150,20-80,55-170
Kathmandu,Dhulikhel,Kavrepalanchok,Bagmati,10-20,15-30,10-30,3-10,50-200,20-100,60-200
Kathmandu,Nagarkot View Tower,Bhaktapur,Bagmati,5-20,10-25,20-80,3-10,50-150,20-80,55-200
