ID,Name,Type,Tourism_Category,Latitude,Longitude,City,Area,District,Province,search_text
267667122,Rockland Hotel,node,hotel,28.2113597,83.9631084,Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,rockland hotel pokhara बैदाम कास्की गण्डकी प्रदेश nepal
267691994,,node,guest_house,28.045968,84.8124552,Aarughat,,गोरखा,गण्डकी प्रदेश,nan aarughat  गोरखा गण्डकी प्रदेश nepal
267692543,,node,guest_house,28.0312584,84.9665031,खनियाबास गाउँपालिका,,धादिङ जिल्ला,बागमती प्रदेश,nan खनियाबास गाउँपालिका  धादिङ जिल्ला बागमती प्रदेश nepal
267757987,,node,guest_house,28.1896731,85.199278,रुवी भ्याली गाउँपालिका,,धादिङ जिल्ला,बागमती प्रदेश,nan रुवी भ्याली गाउँपालिका  धादिङ जिल्ला बागमती प्रदेश nepal
267768922,,node,hotel,28.1612195,85.3365711,गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,nan गोसाइँकुण्ड गाउँपालिका  रसुवा जिल्ला बागमती प्रदेश nepal
297440084,Shangri La,node,hotel,28.8364316,83.7830476,Barhagaun Muktikhsetra,,मुस्ताङ,गण्डकी प्रदेश,shangri la barhagaun muktikhsetra  मुस्ताङ गण्डकी प्रदेश nepal
297440085,Yak Hotel,node,hotel,28.7114278,83.6487653,Thasang,,मुस्ताङ,गण्डकी प्रदेश,yak hotel thasang  मुस्ताङ गण्डकी प्रदेश nepal
316984536,Madhuban,node,hotel,27.72423,85.5244848,मण्डनदेउपुर नगरपालिका,,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,madhuban मण्डनदेउपुर नगरपालिका  काभ्रेपलाञ्चोक जिल्ला बागमती प्रदेश nepal
316985065,The Lakeside Retreat - Pokhara,node,hotel,28.2043486,83.9662542,Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,the lakeside retreat - pokhara pokhara बैदाम कास्की गण्डकी प्रदेश nepal
316995112,Indra Guest House,node,guest_house,28.3490978,83.7421334,Annapurna,,कास्की,गण्डकी प्रदेश,indra guest house annapurna  कास्की गण्डकी प्रदेश nepal
317040754,Nirvana Garden Hotel,node,hotel,27.7127441,85.3096875,काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,nirvana garden hotel काठमाडौँ महानगरपालिका  काठमाडौं जिल्ला बागमती प्रदेश nepal
339102258,Dakshinkali Resort,node,hotel,27.6069446,85.2674087,दक्षि‍णकाली,,काठमाडौं जिल्ला,बागमती प्रदेश,dakshinkali resort दक्षि‍णकाली  काठमाडौं जिल्ला बागमती प्रदेश nepal
354456043,Family guesthouse,node,hotel,27.6127139,85.2641817,दक्षि‍णकाली,,काठमाडौं जिल्ला,बागमती प्रदेश,family guesthouse दक्षि‍णकाली  काठमाडौं जिल्ला बागमती प्रदेश nepal
388572039,,node,viewpoint,28.5262906,83.9066751,Annapurna,,कास्की,गण्डकी प्रदेश,nan annapurna  कास्की गण्डकी प्रदेश nepal
419103135,Hotel Everest,node,guest_house,27.8039633,86.7084737,खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,hotel everest खुम्बु पासाङल्हामु गाउँपालिका  सोलुखुम्बु जिल्ला कोशी प्रदेश nepal
425189331,Yeti Inn,node,guest_house,27.8677535,86.7298787,खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,yeti inn खुम्बु पासाङल्हामु गाउँपालिका  सोलुखुम्बु जिल्ला कोशी प्रदेश nepal
425189578,,node,viewpoint,27.7915295,86.7167336,खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,nan खुम्बु पासाङल्हामु गाउँपालिका  सोलुखुम्बु जिल्ला कोशी प्रदेश nepal
428552946,Everest View,node,viewpoint,27.8196122,86.7236602,खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,everest view खुम्बु पासाङल्हामु गाउँपालिका  सोलुखुम्बु जिल्ला कोशी प्रदेश nepal
442197769,Kongde Peak Guest House,node,guest_house,27.7509099,86.7114434,खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,kongde peak guest house खुम्बु पासाङल्हामु गाउँपालिका  सोलुखुम्बु जिल्ला कोशी प्रदेश nepal
442260810,Paradise Lodge,node,guest_house,27.8934679,86.7191977,खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,paradise lodge खुम्बु पासाङल्हामु गाउँपालिका  सोलुखुम्बु जिल्ला कोशी प्रदेश nepal
484488430,Cho La Pass Resort,node,guest_house,27.9406302,86.7199459,खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,cho la pass resort खुम्बु पासाङल्हामु गाउँपालिका  सोलुखुम्बु जिल्ला कोशी प्रदेश nepal
520698757,Sarangkot Viewpoint,node,viewpoint,28.2436947,83.9574975,Pokhara,पाडेली,कास्की,गण्डकी प्रदेश,sarangkot viewpoint pokhara पाडेली कास्की गण्डकी प्रदेश nepal
520702266,Lonely View Lodge,node,guest_house,28.218097,83.9592252,Pokhara,,कास्की,गण्डकी प्रदेश,lonely view lodge pokhara  कास्की गण्डकी प्रदेश nepal
530579647,Dhaulagiri,node,viewpoint,28.6976088,83.4894884,Dhaulagiri,,म्याग्दी,गण्डकी प्रदेश,dhaulagiri dhaulagiri  म्याग्दी गण्डकी प्रदेश nepal
553319545,Hotel Arniko,node,hotel,27.6240666,85.5492571,धुलिखेल,,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,hotel arniko धुलिखेल  काभ्रेपलाञ्चोक जिल्ला बागमती प्रदेश nepal
