key,city,area,district,province,display_name
"27.72423,85.5244848",मण्डनदेउपुर नगरपालिका,,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,"गैरीगाउँ, Mandandeupur-01, मण्डनदेउपुर नगरपालिका, काभ्रेपलाञ्चोक जिल्ला, बागमती प्रदेश, 44812, नेपाल"
"28.1896731,85.199278",रुवी भ्याली गाउँपालिका,,धादिङ जिल्ला,बागमती प्रदेश,"Somdang, Rubi Valley-01, रुवी भ्याली गाउँपालिका, धादिङ जिल्ला, बागमती प्रदेश, नेपाल"
"28.3490978,83.7421334",Annapurna,,कास्की,गण्डकी प्रदेश,"Tikhe Dhunga, Annapurna-09, Hile, Annapurna, कास्की, गण्डकी प्रदेश, नेपाल"
"28.2043486,83.9662542",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"28.1612195,85.3365711",गोसाइँकुण्ड गाउँपालिका,,रसुवा जिल्ला,बागमती प्रदेश,"बाहुनडाँडा, Gosaikunda-05, गोसाइँकुण्ड गाउँपालिका, रसुवा जिल्ला, बागमती प्रदेश, नेपाल"
"28.8364316,83.7830476",Barhagaun Muktikhsetra,,मुस्ताङ,गण्डकी प्रदेश,"Kāgbeni, Barhagaun Muktikhsetra, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.045968,84.8124552",Aarughat,,गोरखा,गण्डकी प्रदेश,"Ārughāt Bāzār, Aarughat, गोरखा, गण्डकी प्रदेश, नेपाल"
"28.0312584,84.9665031",खनियाबास गाउँपालिका,,धादिङ जिल्ला,बागमती प्रदेश,"Kintang Phedi, खनियाबास गाउँपालिका, धादिङ जिल्ला, बागमती प्रदेश, नेपाल"
"28.7114278,83.6487653",Thasang,,मुस्ताङ,गण्डकी प्रदेश,"Tukuche, Thasang, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"28.2113597,83.9631084",Pokhara,बैदाम,कास्की,गण्डकी प्रदेश,"बैदाम, Pokhara-06, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"27.6069446,85.2674087",दक्षि‍णकाली,,काठमाडौं जिल्ला,बागमती प्रदेश,"फर्पिङ, Dakshinkali-06, दक्षि‍णकाली, दक्षि‍णकाली नगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, 13775, नेपाल"
"27.7127441,85.3096875",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-16, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"27.8039633,86.7084737",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"नाम्चे बजार, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.8677535,86.7298787",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"ल्हफर्मा, Lhafarma, Ḍole, Khumbupasanglahmu-04, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"27.8196122,86.7236602",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"क्याङजुमा, Khumbupasanglahmu-04, Khumjung, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.6127139,85.2641817",दक्षि‍णकाली,,काठमाडौं जिल्ला,बागमती प्रदेश,"Dakshinkali-05, दक्षि‍णकाली, दक्षि‍णकाली नगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, नेपाल"
"28.5262906,83.9066751",Annapurna,,कास्की,गण्डकी प्रदेश,"Annapurna-11, Annapurna, कास्की, गण्डकी प्रदेश, नेपाल"
"27.7915295,86.7167336",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"जोरसले, Khumbupasanglahmu-05, Monjo, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, 56002, नेपाल"
"27.7509099,86.7114434",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Sano Gumela, Khumbupasanglahmu-03, Phakding, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"27.8934679,86.7191977",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"थारे, Khumbupasanglahmu-04, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"27.9406302,86.7199459",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"ड्रागनाग, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"28.6976088,83.4894884",Dhaulagiri,,म्याग्दी,गण्डकी प्रदेश,"Dhaulagiri-04, Dhaulagiri, म्याग्दी, गण्डकी प्रदेश, नेपाल"
"28.2436947,83.9574975",Pokhara,पाडेली,कास्की,गण्डकी प्रदेश,"Suvalab Agro Farm and Tourisam, पाडेली, Pokhara-18, Pokhara, कास्की, गण्डकी प्रदेश, 00799, नेपाल"
"28.218097,83.9592252",Pokhara,,कास्की,गण्डकी प्रदेश,"मुसुरबारी, Pokhara-18, Pokhara, कास्की, गण्डकी प्रदेश, 33700, नेपाल"
"27.6240666,85.5492571",धुलिखेल,,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,"Dhulikhel-04, धुलिखेल, दुधौली नगरपालिका, काभ्रेपलाञ्चोक जिल्ला, बागमती प्रदेश, 09771, नेपाल"
"28.6028785,83.643428",Thasang,,मुस्ताङ,गण्डकी प्रदेश,"Ghansa, Thasang, मुस्ताङ, गण्डकी प्रदेश, नेपाल"
"27.5713226,85.5815355",नमोबुद्ध नगरपालिका,डाँडाकाटेरी,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,"Shankar Bika Kukhura Form, डाँडाकाटेरी, Namobuddha-11, नमोबुद्ध नगरपालिका, काभ्रेपलाञ्चोक जिल्ला, बागमती प्रदेश, 45200, नेपाल"
"27.7189329,85.3199249",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-02, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, 21255, नेपाल"
"27.5699799,85.5802032",नमोबुद्ध नगरपालिका,डाँडाकाटेरी,काभ्रेपलाञ्चोक जिल्ला,बागमती प्रदेश,"Shankar Bika Kukhura Form, डाँडाकाटेरी, Namobuddha-11, नमोबुद्ध नगरपालिका, काभ्रेपलाञ्चोक जिल्ला, बागमती प्रदेश, 45200, नेपाल"
"27.7101439,85.3492969",काठमाडौँ महानगरपालिका,,काठमाडौं जिल्ला,बागमती प्रदेश,"Kathmandu-08, काठमाडौँ महानगरपालिका, काठमाडौं जिल्ला, बागमती प्रदेश, 00077, नेपाल"
"27.8560011,86.7926626",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"Chejungm, Khumbupasanglahmu-04, Shomare, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
"27.6934465,86.7279924",खुम्बु पासाङल्हामु गाउँपालिका,,सोलुखुम्बु जिल्ला,कोशी प्रदेश,"नेपाल, खुम्बु पासाङल्हामु गाउँपालिका, सोलुखुम्बु जिल्ला, कोशी प्रदेश, नेपाल"
