place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category
Everest Base Camp,27.9881,86.925,Solukhumbu,20.0,7.0,15.0,2.0,8.0,3.0,3.0,1.0,50.0,100.0,80.0,HIGH
Annapurna Base Camp,28.53,84.56,Kaski,15.0,10.0,8.0,3.0,7.0,0.0,4.0,0.0,80.0,100.0,92.0,HIGH
Pokhara Lakeside,28.2096,83.9856,Kaski,5.0,3.0,0.0,8.0,5.0,113.0,78.0,3.0,0.0,45.0,27.0,LOW
Chitwan National Park,27.5291,84.3542,Chitwan,8.0,2.0,0.0,10.0,4.0,89.0,28.0,0.0,0.0,50.0,30.0,MEDIUM
Lumbini,27.4698,83.276,Rupandehi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,MEDIUM
Rara Lake,29.5269,82.0835,Mugu,5.0,8.0,1.0,5.0,6.0,0.0,0.0,0.0,100.0,59.0,75.4,HIGH
Upper Mustang,29.193,83.89,Mustang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,MEDIUM
Langtang Valley,28.23,85.56,Rasuwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,MEDIUM
Poon Hill,28.4,83.69,Myagdi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,MEDIUM
Langtang Valley,28.23,85.56,Rasuwa,12.0,15.0,5.0,4.0,10.0,1.0,1.0,0.0,80.0,90.0,86.0,HIGH
Poon Hill,28.4,83.69,Myagdi,3.0,5.0,2.0,1.0,3.0,2.0,3.0,0.0,70.0,55.0,62.0,HIGH
Manaslu Circuit,28.65,84.56,Gorkha,10.0,12.0,10.0,2.0,9.0,0.0,1.0,0.0,90.0,95.0,88.0,HIGH
Tilicho Lake,28.68,84.0,Manang,8.0,14.0,12.0,3.0,7.0,0.0,0.0,0.0,100.0,98.0,95.0,HIGH
Mardi Himal,28.62,84.0,Kaski,5.0,8.0,6.0,1.0,4.0,2.0,2.0,0.0,75.0,70.0,68.0,HIGH
Gosaikunda Lake,28.085,85.41,Rasuwa,6.0,10.0,7.0,3.0,6.0,0.0,1.0,0.0,90.0,80.0,84.0,HIGH
Shey Phoksundo Lake,29.21,82.96,Dolpa,4.0,12.0,3.0,4.0,8.0,0.0,0.0,0.0,100.0,78.0,85.0,HIGH
Khopra Danda,28.45,83.65,Myagdi,3.0,6.0,5.0,1.0,3.0,1.0,2.0,0.0,80.0,65.0,72.0,HIGH
Nagarkot,27.715,85.52,Bhaktapur,2.0,2.0,0.0,3.0,5.0,15.0,10.0,2.0,20.0,30.0,28.0,LOW
Bhaktapur Durbar Square,27.672,85.4298,Bhaktapur,1.0,0.0,0.0,1.0,8.0,20.0,15.0,5.0,10.0,25.0,22.0,LOW
Kathmandu Durbar Square,27.7048,85.3076,Kathmandu,2.0,0.0,0.0,2.0,9.0,30.0,25.0,8.0,5.0,30.0,25.0,LOW
Patan Durbar Square,27.673,85.325,Lalitpur,1.0,0.0,0.0,1.0,8.0,25.0,20.0,5.0,10.0,25.0,23.0,LOW
Swayambhunath,27.7149,85.29,Kathmandu,1.0,0.0,0.0,2.0,6.0,25.0,20.0,3.0,10.0,20.0,22.0,LOW
Boudhanath,27.7215,85.362,Kathmandu,1.0,0.0,0.0,1.0,5.0,30.0,25.0,4.0,5.0,15.0,18.0,LOW
Phewa Lake,28.2096,83.9856,Kaski,3.0,2.0,0.0,8.0,3.0,40.0,30.0,5.0,5.0,30.0,25.0,LOW
Sarangkot,28.244,83.945,Kaski,2.0,3.0,0.0,3.0,4.0,10.0,8.0,1.0,25.0,35.0,30.0,LOW
Begnas Lake,28.155,84.12,Kaski,2.0,1.0,0.0,7.0,3.0,20.0,15.0,2.0,10.0,25.0,22.0,LOW
Davis Falls,28.195,83.96,Kaski,3.0,1.0,0.0,5.0,2.0,30.0,20.0,4.0,5.0,20.0,20.0,LOW
World Peace Pagoda,28.19,83.95,Kaski,1.0,2.0,0.0,2.0,3.0,10.0,8.0,1.0,30.0,25.0,28.0,LOW
Chitwan Jungle Safari,27.5291,84.3542,Chitwan,7.0,1.0,0.0,12.0,3.0,15.0,10.0,2.0,25.0,55.0,42.0,MEDIUM
Bardia National Park,28.45,81.3,Bardiya,5.0,1.0,0.0,15.0,2.0,5.0,5.0,1.0,60.0,50.0,55.0,MEDIUM
Koshi Tappu Wildlife Reserve,26.9,87.15,Sunsari,4.0,0.0,0.0,18.0,2.0,8.0,6.0,2.0,40.0,55.0,48.0,MEDIUM
Janaki Temple,26.7288,85.925,Dhanusha,0.0,0.0,0.0,2.0,2.0,15.0,10.0,3.0,20.0,15.0,20.0,LOW
Pathibhara Temple,27.42,87.75,Taplejung,5.0,10.0,3.0,2.0,6.0,0.0,1.0,0.0,90.0,75.0,82.0,HIGH
Halesi Mahadev,27.32,86.72,Khotang,3.0,4.0,0.0,2.0,5.0,3.0,4.0,1.0,60.0,45.0,55.0,MEDIUM
Muktinath Temple,28.82,83.87,Mustang,4.0,5.0,4.0,1.0,5.0,1.0,2.0,0.0,80.0,60.0,70.0,HIGH
Kagbeni,28.84,83.78,Mustang,3.0,4.0,2.0,5.0,4.0,1.0,1.0,0.0,90.0,55.0,72.0,HIGH
Tengboche Monastery,27.84,86.76,Solukhumbu,8.0,9.0,10.0,1.0,7.0,0.0,0.0,0.0,100.0,90.0,92.0,HIGH
Lukla Airport,27.686,86.73,Solukhumbu,15.0,3.0,2.0,1.0,5.0,1.0,2.0,1.0,70.0,65.0,75.0,HIGH
Kalinchowk,27.95,86.05,Dolakha,5.0,8.0,5.0,2.0,6.0,1.0,2.0,0.0,80.0,75.0,78.0,HIGH
Daman View Tower,27.6,85.08,Makwanpur,2.0,4.0,0.0,3.0,5.0,5.0,4.0,1.0,45.0,40.0,42.0,MEDIUM
Ilam Tea Garden,26.91,87.93,Ilam,2.0,5.0,0.0,4.0,3.0,8.0,5.0,1.0,35.0,40.0,38.0,MEDIUM
Antu Danda,26.89,88.0,Ilam,1.0,3.0,0.0,2.0,2.0,5.0,4.0,1.0,40.0,30.0,35.0,MEDIUM
Dhorpatan Hunting Reserve,28.48,83.02,Baglung,5.0,10.0,5.0,3.0,6.0,0.0,1.0,0.0,90.0,80.0,86.0,HIGH
Khaptad National Park,29.35,81.1,Bajhang,3.0,8.0,2.0,5.0,7.0,0.0,0.0,0.0,100.0,70.0,82.0,HIGH
Api Base Camp,29.95,80.9,Darchula,6.0,12.0,6.0,3.0,8.0,0.0,0.0,0.0,100.0,90.0,94.0,HIGH
Badimalika Temple,29.15,81.5,Bajura,4.0,9.0,3.0,4.0,6.0,0.0,0.0,0.0,100.0,75.0,86.0,HIGH
Tansen Durbar,27.867,83.546,Palpa,1.0,2.0,0.0,3.0,5.0,10.0,8.0,2.0,25.0,30.0,28.0,LOW
Rani Mahal,27.85,83.55,Palpa,2.0,3.0,0.0,5.0,4.0,5.0,5.0,1.0,45.0,35.0,42.0,MEDIUM
Bungy Jumping The Last Resort,27.95,85.9,Sindhupalchok,6.0,8.0,0.0,4.0,6.0,1.0,2.0,1.0,70.0,60.0,64.0,HIGH
Bhote Koshi River Rafting,27.95,85.87,Sindhupalchok,7.0,9.0,0.0,6.0,5.0,1.0,2.0,1.0,65.0,70.0,67.0,HIGH
