district,province,verified_destinations,coverage_status
Achham,Sudurpashchim,3,limited_data
Arghakhanchi,Lumbini,1,limited_data
Baglung,Gandaki,2,limited_data
Baitadi,Sudurpashchim,2,limited_data
Bajhang,Sudurpashchim,8,partially_covered
Bajura,Sudurpashchim,2,limited_data
Banke,Lumbini,119,well_covered
Bara,Madhesh,3,limited_data
Bardiya,Lumbini,17,partially_covered
Bhaktapur,Bagmati,94,well_covered
Bhojpur,Koshi,15,partially_covered
Chitwan,Bagmati,166,well_covered
Dadeldhura,Sudurpashchim,8,partially_covered
Dailekh,Karnali,44,well_covered
Dang,Lumbini,50,well_covered
Darchula,Sudurpashchim,6,partially_covered
Dhading,Bagmati,68,well_covered
Dhankuta,Koshi,17,partially_covered
Dhanusha,Madhesh,17,partially_covered
Dolakha,Bagmati,58,well_covered
Dolpa,Karnali,71,well_covered
Doti,Sudurpashchim,9,partially_covered
Gorkha,Gandaki,85,well_covered
Gulmi,Lumbini,9,partially_covered
Humla,Karnali,41,well_covered
Ilam,Koshi,53,well_covered
Jajarkot,Karnali,3,limited_data
Jhapa,Koshi,31,well_covered
Jumla,Karnali,13,partially_covered
Kailali,Sudurpashchim,16,partially_covered
Kalikot,Karnali,9,partially_covered
Kanchanpur,Sudurpashchim,19,partially_covered
Kapilvastu,Lumbini,25,well_covered
Kaski,Gandaki,1145,well_covered
Kathmandu,Bagmati,903,well_covered
Kavrepalanchok,Bagmati,218,well_covered
Khotang,Koshi,3,limited_data
Lalitpur,Bagmati,99,well_covered
Lamjung,Gandaki,64,well_covered
Mahottari,Madhesh,3,limited_data
Makwanpur,Bagmati,50,well_covered
Manang,Gandaki,139,well_covered
Morang,Koshi,24,well_covered
Mugu,Karnali,14,partially_covered
Mustang,Gandaki,167,well_covered
Myagdi,Gandaki,67,well_covered
Nawalpur,Gandaki,13,partially_covered
Nuwakot,Bagmati,63,well_covered
Okhaldhunga,Koshi,4,limited_data
Palpa,Lumbini,29,well_covered
Panchthar,Koshi,9,partially_covered
Parasi,Lumbini,6,partially_covered
Parbat,Gandaki,70,well_covered
Parsa,Madhesh,5,partially_covered
Pyuthan,Lumbini,3,limited_data
Ramechhap,Bagmati,14,partially_covered
Rasuwa,Bagmati,101,well_covered
Rautahat,Madhesh,4,limited_data
Rolpa,Lumbini,4,limited_data
Rukum East,Lumbini,3,limited_data
Rukum West,Karnali,1,limited_data
Rupandehi,Lumbini,181,well_covered
Salyan,Karnali,1,limited_data
Sankhuwasabha,Koshi,12,partially_covered
Saptari,Madhesh,7,partially_covered
Sarlahi,Madhesh,2,limited_data
Sindhuli,Bagmati,18,partially_covered
Sindhupalchok,Bagmati,46,well_covered
Siraha,Madhesh,7,partially_covered
Solukhumbu,Koshi,200,well_covered
Sunsari,Koshi,23,well_covered
Surkhet,Karnali,20,well_covered
Syangja,Gandaki,51,well_covered
Tanahun,Gandaki,49,well_covered
Taplejung,Koshi,81,well_covered
Terhathum,Koshi,2,limited_data
Udayapur,Koshi,3,limited_data
